Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
strong,307,32.89285714285714,0.14381080871160395,1,2026-06-15,2026-06-15,1.8742444807022596,-1.8742444807022596,1.8742444807022596
div,232,24.857142857142854,0.14381080871160395,1,2026-06-15,2026-06-15,1.628445572599897,-1.628445572599897,1.628445572599897
width,138,14.785714285714285,0.14381080871160382,1,2026-06-15,2026-06-15,1.2541079174553855,-1.2541079174553855,1.2541079174553855
height,136,14.571428571428571,0.14381080871160382,1,2026-06-15,2026-06-15,1.2449211583872801,-1.2449211583872801,1.2449211583872801
src,131,14.035714285714285,0.14381080871160382,1,2026-06-15,2026-06-15,1.2216521212605223,-1.2216521212605223,1.2216521212605223
figure,106,11.357142857142856,0.14381080871160395,1,2026-06-15,2026-06-15,1.097936441130432,-1.097936441130432,1.097936441130432
figcaption,99,10.607142857142856,0.14381080871160395,1,2026-06-15,2026-06-15,1.0607142857142855,-1.0607142857142855,1.0607142857142855
like,107,10.642857142857142,0.14161585948922303,4,2026-05-11,2026-06-15,1.0241094060625504,-1.0241094060625504,1.0241094060625504
src width,90,9.642857142857142,0.14381080871160382,1,2026-06-15,2026-06-15,1.0108460925532783,-1.0108460925532783,1.0108460925532783
height src,84,9.0,0.14381080871160395,1,2026-06-15,2026-06-15,0.9761870601839528,-0.9761870601839528,0.9761870601839528
height src width,84,9.0,0.14381080871160395,1,2026-06-15,2026-06-15,0.9761870601839528,-0.9761870601839528,0.9761870601839528
new,106,9.964285714285714,0.08415942228965866,5,2026-05-11,2026-06-15,0.9632838587276432,-0.9632838587276432,0.9632838587276432
class,78,8.285714285714286,0.14052971823147356,2,2026-06-01,2026-06-15,0.9322156893387056,-0.9322156893387056,0.9322156893387056
color,84,7.892857142857142,0.12776123270673093,4,2026-05-18,2026-06-15,0.8561005567486252,-0.8561005567486252,0.8561005567486252
best,75,7.178571428571428,0.10847282827234622,4,2026-05-11,2026-06-15,0.8234386162139805,-0.8234386162139805,0.8234386162139805
img,59,6.321428571428571,0.14381080871160382,1,2026-06-15,2026-06-15,0.81609291937942,-0.81609291937942,0.81609291937942
summer,240,12.607142857142858,0.08408676101487056,7,2026-05-04,2026-06-15,0.8120974611410475,-0.8120974611410475,0.8120974611410475
shorts,79,7.25,0.05337888121747049,4,2026-05-11,2026-06-15,0.8105746418436737,-0.8105746418436737,0.8105746418436737
blockquote,58,6.2142857142857135,0.14381080871160395,1,2026-06-15,2026-06-15,0.8090310896665482,-0.8090310896665482,0.8090310896665482
noopener,55,5.892857142857142,0.14381080871160395,1,2026-06-15,2026-06-15,0.7874661592062504,-0.7874661592062504,0.7874661592062504
rel,55,5.892857142857142,0.14381080871160395,1,2026-06-15,2026-06-15,0.7874661592062504,-0.7874661592062504,0.7874661592062504
just,64,6.321428571428571,0.12743055839530712,3,2026-05-25,2026-06-15,0.784076715081782,-0.784076715081782,0.784076715081782
love,60,6.107142857142857,0.11946168974475616,3,2026-05-11,2026-06-15,0.7819395167330433,-0.7819395167330433,0.7819395167330433
modern,65,6.321428571428571,0.0647577742648349,4,2026-05-25,2026-06-15,0.7781140679764962,-0.7781140679764962,0.7781140679764962
product,53,5.678571428571428,0.14381080871160395,1,2026-06-15,2026-06-15,0.7727556926637406,-0.7727556926637406,0.7727556926637406
target,53,5.678571428571428,0.14381080871160395,1,2026-06-15,2026-06-15,0.7727556926637406,-0.7727556926637406,0.7727556926637406
post,50,5.357142857142857,0.14381080871160395,1,2026-06-15,2026-06-15,0.7501500450150052,-0.7501500450150052,0.7501500450150052
noopener target,47,5.035714285714286,0.14381080871160382,1,2026-06-15,2026-06-15,0.7268427496047968,-0.7268427496047968,0.7268427496047968
people,60,5.642857142857142,0.12575804959015055,4,2026-05-11,2026-06-15,0.7224938224784844,-0.7224938224784844,0.7224938224784844
figure img,46,4.928571428571428,0.14381080871160395,1,2026-06-15,2026-06-15,0.7189060295253373,-0.7189060295253373,0.7189060295253373
