Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
div,1562,167.35714285714286,0.14381080871160384,1,2026-01-05,2026-01-05,4.233160781464763,-4.233160781464763,4.233160781464763
div div,782,83.78571428571428,0.14381080871160384,1,2026-01-05,2026-01-05,2.9942571508684126,-2.9942571508684126,2.9942571508684126
height,536,57.42857142857142,0.14381080871160384,1,2026-01-05,2026-01-05,2.478225778640649,-2.478225778640649,2.478225778640649
width,512,54.857142857142854,0.14381080871160384,1,2026-01-05,2026-01-05,2.4220020243475084,-2.4220020243475084,2.4220020243475084
strong,504,53.92857142857142,0.14211332556243647,2,2025-12-29,2026-01-05,2.399789931535275,-2.399789931535275,2.399789931535275
background,292,31.285714285714285,0.14381080871160368,1,2026-01-05,2026-01-05,1.827730944089999,-1.827730944089999,1.827730944089999
font,284,30.21428571428571,0.14321613972372202,2,2025-12-15,2026-01-05,1.7897398235149715,-1.7897398235149715,1.7897398235149715
figure,170,18.214285714285715,0.14381080871160368,1,2026-01-05,2026-01-05,1.3928812413569822,-1.3928812413569822,1.3928812413569822
solid,144,15.428571428571427,0.14381080871160384,1,2026-01-05,2026-01-05,1.2812731177434165,-1.2812731177434165,1.2812731177434165
left,150,15.714285714285714,0.14735661736272607,2,2025-12-01,2026-01-05,1.278810435211822,-1.278810435211822,1.278810435211822
src,131,14.035714285714285,0.14381080871160368,1,2026-01-05,2026-01-05,1.2216521212605223,-1.2216521212605223,1.2216521212605223
text,133,13.928571428571427,0.14196798755113538,2,2025-12-15,2026-01-05,1.2032453070597515,-1.2032453070597515,1.2032453070597515
figcaption,124,13.285714285714285,0.14381080871160384,1,2026-01-05,2026-01-05,1.188310410899888,-1.188310410899888,1.188310410899888
line,122,12.964285714285714,0.13333736592604717,2,2025-12-29,2026-01-05,1.168950276372421,-1.168950276372421,1.168950276372421
class,105,11.25,0.14381080871160384,1,2026-01-05,2026-01-05,1.092696595151922,-1.092696595151922,1.092696595151922
target,101,10.821428571428571,0.14381080871160384,1,2026-01-05,2026-01-05,1.0714810911497583,-1.0714810911497583,1.0714810911497583
noopener,100,10.714285714285714,0.14381080871160384,1,2026-01-05,2026-01-05,1.0661112752249884,-1.0661112752249884,1.0661112752249884
rel,100,10.714285714285714,0.14381080871160384,1,2026-01-05,2026-01-05,1.0661112752249884,-1.0661112752249884,1.0661112752249884
size,98,10.5,0.14381080871160384,1,2026-01-05,2026-01-05,1.0552897060221726,-1.0552897060221726,1.0552897060221726
img,95,10.178571428571429,0.14381080871160384,1,2026-01-05,2026-01-05,1.0388460962696515,-1.0388460962696515,1.0388460962696515
family,94,10.0,0.13474157377591303,2,2025-12-29,2026-01-05,1.0259783520851542,-1.0259783520851542,1.0259783520851542
noreferrer,91,9.75,0.14381080871160384,1,2026-01-05,2026-01-05,1.0165077685282395,-1.0165077685282395,1.0165077685282395
post,97,10.035714285714285,0.1494007676786336,2,2025-12-01,2026-01-05,1.0137602322113257,-1.0137602322113257,1.0137602322113257
work,97,9.857142857142856,0.13932705270991586,4,2025-12-01,2026-01-05,0.9957217939157504,-0.9957217939157504,0.9957217939157504
normal,86,9.214285714285714,0.14381080871160384,1,2026-01-05,2026-01-05,0.9878751213862537,-0.9878751213862537,0.9878751213862537
strong strong,85,9.107142857142858,0.14381080871160368,1,2026-01-05,2026-01-05,0.9820484702455999,-0.9820484702455999,0.9820484702455999
blockquote,82,8.785714285714285,0.14381080871160384,1,2026-01-05,2026-01-05,0.9643574270522793,-0.9643574270522793,0.9643574270522793
figure img,79,8.464285714285714,0.14381080871160368,1,2026-01-05,2026-01-05,0.9463359119061608,-0.9463359119061608,0.9463359119061608
research,89,8.821428571428571,0.11392608763983166,4,2025-12-08,2026-01-05,0.9298602167399876,-0.9298602167399876,0.9298602167399876
center,75,7.9642857142857135,0.13245872355684904,2,2025-12-29,2026-01-05,0.913566225948844,-0.913566225948844,0.913566225948844
decoration,73,7.821428571428571,0.14381080871160368,1,2026-01-05,2026-01-05,0.9092226030320151,-0.9092226030320151,0.9092226030320151
shorts,83,8.285714285714285,0.07383636359552484,3,2025-12-22,2026-01-05,0.904045545263397,-0.904045545263397,0.904045545263397
align,69,7.392857142857142,0.14381080871160368,1,2026-01-05,2026-01-05,0.8836154361864981,-0.8836154361864981,0.8836154361864981
align center,66,7.071428571428571,0.14381080871160368,1,2026-01-05,2026-01-05,0.8639124993767298,-0.8639124993767298,0.8639124993767298
text align,66,7.071428571428571,0.14381080871160368,1,2026-01-05,2026-01-05,0.8639124993767298,-0.8639124993767298,0.8639124993767298
text align center,66,7.071428571428571,0.14381080871160368,1,2026-01-05,2026-01-05,0.8639124993767298,-0.8639124993767298,0.8639124993767298
best,83,7.857142857142856,0.08023323930991771,4,2025-12-01,2026-01-05,0.8572845687842556,-0.8572845687842556,0.8572845687842556
rel noopener,65,6.9642857142857135,0.14381080871160384,1,2026-01-05,2026-01-05,0.8572443121774956,-0.8572443121774956,0.8572443121774956
src width,64,6.857142857142857,0.14381080871160384,1,2026-01-05,2026-01-05,0.8505238943260008,-0.8505238943260008,0.8505238943260008
tools,65,6.857142857142857,0.1425339331491094,2,2025-12-15,2026-01-05,0.8440559381439958,-0.8440559381439958,0.8440559381439958
alt,62,6.642857142857142,0.14381080871160384,1,2026-01-05,2026-01-05,0.8369213330918602,-0.8369213330918602,0.8369213330918602
available,69,6.9642857142857135,0.14828548419188467,2,2025-12-08,2026-01-05,0.8323913529293098,-0.8323913529293098,0.8323913529293098
height src,60,6.428571428571428,0.14381080871160384,1,2026-01-05,2026-01-05,0.8230942281400455,-0.8230942281400455,0.8230942281400455
height src width,60,6.428571428571428,0.14381080871160384,1,2026-01-05,2026-01-05,0.8230942281400455,-0.8230942281400455,0.8230942281400455
img alt,57,6.107142857142857,0.14381080871160384,1,2026-01-05,2026-01-05,0.8019071435361627,-0.8019071435361627,0.8019071435361627
language,57,6.107142857142857,0.14381080871160384,1,2026-01-05,2026-01-05,0.8019071435361627,-0.8019071435361627,0.8019071435361627
wear,133,9.178571428571429,0.009935814249477773,5,2025-12-08,2026-01-05,0.7929078049086056,-0.7929078049086056,0.7929078049086056
natural,50,5.357142857142857,0.14381080871160384,1,2026-01-05,2026-01-05,0.7501500450150052,-0.7501500450150052,0.7501500450150052
don,53,5.464285714285714,0.1175362450878085,3,2025-12-22,2026-01-05,0.7435951004877505,-0.7435951004877505,0.7435951004877505
make,68,6.142857142857142,0.062388042949222795,5,2025-12-01,2026-01-05,0.7395130975268679,-0.7395130975268679,0.7395130975268679
day,57,5.535714285714286,0.05308332164700892,3,2025-12-22,2026-01-05,0.7268748961877498,-0.7268748961877498,0.7268748961877498
small,55,5.321428571428571,0.15133208746393437,3,2025-12-01,2026-01-05,0.7111058043741292,-0.7111058043741292,0.7111058043741292
figcaption figure,45,4.821428571428571,0.14381080871160368,1,2026-01-05,2026-01-05,0.7108808600325397,-0.7108808600325397,0.7108808600325397
users,47,4.892857142857142,0.13303397794542413,2,2025-12-22,2026-01-05,0.7062230971337387,-0.7062230971337387,0.7062230971337387
noopener target,43,4.607142857142857,0.14381080871160384,1,2026-01-05,2026-01-05,0.6945529187594911,-0.6945529187594911,0.6945529187594911
video,53,5.071428571428571,0.09517197466846777,5,2025-12-01,2026-01-05,0.6901340148317684,-0.6901340148317684,0.6901340148317684
media,50,4.857142857142857,0.09569986190255916,3,2025-12-08,2026-01-05,0.6801360408136047,-0.6801360408136047,0.6801360408136047
figure img alt,41,4.392857142857142,0.14381080871160384,1,2026-01-05,2026-01-05,0.6778325730477608,-0.6778325730477608,0.6778325730477608
web,53,4.857142857142857,0.04401730237668549,4,2025-12-01,2026-01-05,0.6609734226557782,-0.6609734226557782,0.6609734226557782
shared,39,4.142857142857143,0.1328925777574867,2,2025-12-29,2026-01-05,0.6550432296063071,-0.6550432296063071,0.6550432296063071
fashion trends,79,5.821428571428571,0.05684643895257852,6,2025-12-01,2026-01-05,0.6508555005936887,-0.6508555005936887,0.6508555005936887
nail,40,4.142857142857142,0.13118797819676634,2,2025-12-22,2026-01-05,0.6470055849670822,-0.6470055849670822,0.6470055849670822
men,37,3.964285714285714,0.14381080871160384,1,2026-01-05,2026-01-05,0.6430920623398086,-0.6430920623398086,0.6430920623398086
trending,53,4.714285714285714,0.10186775067882578,5,2025-12-01,2026-01-05,0.6415330278717848,-0.6415330278717848,0.6415330278717848
want,52,4.642857142857142,0.08657271221836917,4,2025-12-15,2026-01-05,0.6377454754760561,-0.6377454754760561,0.6377454754760561
good,64,5.107142857142857,0.06459248458444022,5,2025-12-08,2026-01-05,0.633463108794886,-0.633463108794886,0.633463108794886
noreferrer noopener,35,3.75,0.14381080871160368,1,2026-01-05,2026-01-05,0.625,-0.625,0.625
rel noreferrer,35,3.75,0.14381080871160368,1,2026-01-05,2026-01-05,0.625,-0.625,0.625
rel noreferrer noopener,35,3.75,0.14381080871160368,1,2026-01-05,2026-01-05,0.625,-0.625,0.625
src figcaption,35,3.75,0.14381080871160368,1,2026-01-05,2026-01-05,0.625,-0.625,0.625
space,46,4.25,0.12177672215836628,4,2025-12-01,2026-01-05,0.6199262138660518,-0.6199262138660518,0.6199262138660518
product,37,3.821428571428571,0.12970356592030846,3,2025-12-15,2026-01-05,0.6199175736068425,-0.6199175736068425,0.6199175736068425
risk,35,3.714285714285714,0.1316536886158883,2,2025-12-29,2026-01-05,0.619047619047619,-0.619047619047619,0.619047619047619
change,34,3.642857142857143,0.14381080871160368,1,2026-01-05,2026-01-05,0.6157552427307763,-0.6157552427307763,0.6157552427307763
noreferrer noopener target,34,3.642857142857143,0.14381080871160368,1,2026-01-05,2026-01-05,0.6157552427307763,-0.6157552427307763,0.6157552427307763
medium,33,3.5357142857142856,0.14381080871160368,1,2026-01-05,2026-01-05,0.6063699974681562,-0.6063699974681562,0.6063699974681562
plan,33,3.5357142857142856,0.14381080871160368,1,2026-01-05,2026-01-05,0.6063699974681562,-0.6063699974681562,0.6063699974681562
blue,38,3.785714285714285,0.14944191329506418,2,2025-12-08,2026-01-05,0.6061994394049727,-0.6061994394049727,0.6061994394049727
hair,43,3.964285714285714,0.13304939099562962,3,2025-12-08,2026-01-05,0.5976385580023529,-0.5976385580023529,0.5976385580023529
blockquote class,32,3.4285714285714284,0.14381080871160384,1,2026-01-05,2026-01-05,0.5968376775623926,-0.5968376775623926,0.5968376775623926
hidden,32,3.4285714285714284,0.14381080871160384,1,2026-01-05,2026-01-05,0.5968376775623926,-0.5968376775623926,0.5968376775623926
src figure,32,3.4285714285714284,0.14381080871160384,1,2026-01-05,2026-01-05,0.5968376775623926,-0.5968376775623926,0.5968376775623926
view,34,3.5,0.14666266743497136,2,2025-12-08,2026-01-05,0.5916079783099616,-0.5916079783099616,0.5916079783099616
know,56,4.464285714285714,0.11055132834856662,5,2025-12-01,2026-01-05,0.591309087975466,-0.591309087975466,0.591309087975466
set,59,4.535714285714285,0.09824898807949922,5,2025-12-08,2026-01-05,0.5855581963908831,-0.5855581963908831,0.5855581963908831
different,33,3.392857142857143,0.094216008107507,2,2025-12-29,2026-01-05,0.5818701995906549,-0.5818701995906549,0.5818701995906549
class rws,30,3.214285714285714,0.14381080871160384,1,2026-01-05,2026-01-05,0.5773027565146336,-0.5773027565146336,0.5773027565146336
diy,30,3.214285714285714,0.14381080871160384,1,2026-01-05,2026-01-05,0.5773027565146336,-0.5773027565146336,0.5773027565146336
fashiontrends,30,3.214285714285714,0.14381080871160384,1,2026-01-05,2026-01-05,0.5773027565146336,-0.5773027565146336,0.5773027565146336
rws,30,3.214285714285714,0.14381080871160384,1,2026-01-05,2026-01-05,0.5773027565146336,-0.5773027565146336,0.5773027565146336
high,29,3.1071428571428568,0.14381080871160384,1,2026-01-05,2026-01-05,0.5672840774160648,-0.5672840774160648,0.5672840774160648
looks,38,3.535714285714285,0.09959568718454859,3,2025-12-15,2026-01-05,0.5661674009537009,-0.5661674009537009,0.5661674009537009
january,30,3.071428571428571,0.0896749869554071,2,2025-12-29,2026-01-05,0.5516448562250943,-0.5516448562250943,0.5516448562250943
things,39,3.4642857142857144,0.1402475787928318,4,2025-12-01,2026-01-05,0.5477516661363085,-0.5477516661363085,0.5477516661363085
long,35,3.2857142857142856,0.12024440080197198,4,2025-12-01,2026-01-05,0.5476190476190476,-0.5476190476190476,0.5476190476190476
craft,27,2.892857142857143,0.14381080871160384,1,2026-01-05,2026-01-05,0.5466986127454894,-0.5466986127454894,0.5466986127454894
cut,27,2.892857142857143,0.14381080871160384,1,2026-01-05,2026-01-05,0.5466986127454894,-0.5466986127454894,0.5466986127454894
feel,45,3.678571428571428,0.10282001971859013,4,2025-12-01,2026-01-05,0.5423757672840858,-0.5423757672840858,0.5423757672840858
quality,26,2.7857142857142856,0.14381080871160384,1,2026-01-05,2026-01-05,0.5361109642475096,-0.5361109642475096,0.5361109642475096
start,28,2.8571428571428568,0.08618482745881664,2,2025-12-29,2026-01-05,0.530558109077291,-0.530558109077291,0.530558109077291
watch,26,2.75,0.12748925659769125,2,2025-12-29,2026-01-05,0.529237746757157,-0.529237746757157,0.529237746757157
experience,27,2.7857142857142856,0.09807880188707765,2,2025-12-29,2026-01-05,0.5264505159771379,-0.5264505159771379,0.5264505159771379
says,30,2.9285714285714284,0.1084621910089615,3,2025-12-15,2026-01-05,0.5259869559355551,-0.5259869559355551,0.5259869559355551
home decor,42,3.4285714285714284,0.05434547519896623,5,2025-12-01,2026-01-05,0.5228522411403589,-0.5228522411403589,0.5228522411403589
travel,27,2.75,0.12533015032162037,2,2025-12-22,2026-01-05,0.5197011503876874,-0.5197011503876874,0.5197011503876874
streetwear,38,3.2142857142857135,0.12556296301755998,4,2025-12-08,2026-01-05,0.5146976372306371,-0.5146976372306371,0.5146976372306371
built,24,2.571428571428571,0.14381080871160384,1,2026-01-05,2026-01-05,0.5142857142857142,-0.5142857142857142,0.5142857142857142
stop,24,2.571428571428571,0.14381080871160384,1,2026-01-05,2026-01-05,0.5142857142857142,-0.5142857142857142,0.5142857142857142
figma,26,2.642857142857143,0.08224904425323473,2,2025-12-29,2026-01-05,0.5086180942860988,-0.5086180942860988,0.5086180942860988
interface,24,2.5357142857142856,0.126145717010593,2,2025-12-29,2026-01-05,0.5071428571428571,-0.5071428571428571,0.5071428571428571
project,25,2.571428571428571,0.09467589285660111,2,2025-12-29,2026-01-05,0.5042986332124733,-0.5042986332124733,0.5042986332124733
ytshorts,25,2.571428571428571,0.09467589285660111,2,2025-12-29,2026-01-05,0.5042986332124733,-0.5042986332124733,0.5042986332124733
pants,28,2.714285714285714,0.1520881534749236,2,2025-12-08,2026-01-05,0.5040302036234264,-0.5040302036234264,0.5040302036234264
build,24,2.5,0.10902527582296145,2,2025-12-29,2026-01-05,0.5,-0.5,0.5
nails,32,2.8571428571428568,0.16202055539598118,2,2025-12-08,2026-01-05,0.49736473130199377,-0.49736473130199377,0.49736473130199377
luxury,35,2.964285714285714,0.15229909768015643,4,2025-12-01,2026-01-05,0.494047619047619,-0.494047619047619,0.494047619047619
ces,22,2.357142857142857,0.14381080871160384,1,2026-01-05,2026-01-05,0.491498261705962,-0.491498261705962,0.491498261705962
choice,22,2.357142857142857,0.14381080871160384,1,2026-01-05,2026-01-05,0.491498261705962,-0.491498261705962,0.491498261705962
pattern,22,2.357142857142857,0.14381080871160384,1,2026-01-05,2026-01-05,0.491498261705962,-0.491498261705962,0.491498261705962
social,25,2.464285714285714,0.05550170114799642,2,2025-12-29,2026-01-05,0.48328619016195346,-0.48328619016195346,0.48328619016195346
biggest,83,4.428571428571428,0.008059650341773873,6,2025-12-01,2026-01-05,0.48319675695112596,-0.48319675695112596,0.48319675695112596
web design,29,2.642857142857143,0.030402782877873364,2,2025-12-29,2026-01-05,0.48251749113550346,-0.48251749113550346,0.48251749113550346
awards,21,2.25,0.14381080871160384,1,2026-01-05,2026-01-05,0.47970161180012344,-0.47970161180012344,0.47970161180012344
contact,21,2.25,0.14381080871160384,1,2026-01-05,2026-01-05,0.47970161180012344,-0.47970161180012344,0.47970161180012344
conversation,21,2.25,0.14381080871160384,1,2026-01-05,2026-01-05,0.47970161180012344,-0.47970161180012344,0.47970161180012344
didn,21,2.25,0.14381080871160384,1,2026-01-05,2026-01-05,0.47970161180012344,-0.47970161180012344,0.47970161180012344
figure img src,21,2.25,0.14381080871160384,1,2026-01-05,2026-01-05,0.47970161180012344,-0.47970161180012344,0.47970161180012344
img src,21,2.25,0.14381080871160384,1,2026-01-05,2026-01-05,0.47970161180012344,-0.47970161180012344,0.47970161180012344
img src figure,21,2.25,0.14381080871160384,1,2026-01-05,2026-01-05,0.47970161180012344,-0.47970161180012344,0.47970161180012344
important,21,2.25,0.14381080871160384,1,2026-01-05,2026-01-05,0.47970161180012344,-0.47970161180012344,0.47970161180012344
outfit,21,2.25,0.14381080871160384,1,2026-01-05,2026-01-05,0.47970161180012344,-0.47970161180012344,0.47970161180012344
