Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down
strong,320,19.047619047619047,0.30995873550624103,1,2025-10-20,2025-10-20,1.0631344232113287,-1.0631344232113287
figure,303,18.035714285714285,0.30995873550624103,1,2025-10-20,2025-10-20,1.0344191571842292,-1.0344191571842292
design,401,17.654761904761905,0.33428436975585757,6,2025-09-15,2025-10-20,0.8805394913378688,-0.8805394913378688
figcaption,214,12.738095238095237,0.30995873550624103,1,2025-10-20,2025-10-20,0.8687308848016745,-0.8687308848016745
src,190,11.333333333333334,0.3056296423657601,2,2025-10-20,2025-10-27,0.8200512193314112,-0.8200512193314112
trends,416,8.238095238095237,0.45368966801427224,8,2025-09-08,2025-10-27,0.4034212594727132,-0.4034212594727132
img,131,7.821428571428571,0.3036772507246925,2,2025-10-20,2025-10-27,0.680767975969604,-0.680767975969604
trend,306,7.785714285714286,0.37670004350668773,7,2025-09-08,2025-10-20,0.44435418473823646,-0.44435418473823646
fashion,213,7.773809523809524,0.32693342874582426,6,2025-09-15,2025-10-20,0.5314066789846489,-0.5314066789846489
height,119,7.107142857142857,0.30304289712766475,2,2025-10-20,2025-10-27,0.6487904103781431,-0.6487904103781431
figure img,116,6.904761904761905,0.30995873550624103,1,2025-10-20,2025-10-20,0.6383454639099859,-0.6383454639099859
like,127,6.869047619047619,0.32135019549434385,5,2025-09-08,2025-10-20,0.6071437689652349,-0.6071437689652349
home,163,6.7976190476190474,0.328728246452657,6,2025-09-15,2025-10-20,0.5308048692761551,-0.5308048692761551
width,111,6.630952380952381,0.30254368416192445,2,2025-10-20,2025-10-27,0.6265661055539868,-0.6265661055539868
src width,107,6.392857142857143,0.30226604232157894,2,2025-10-20,2025-10-27,0.6151529653865656,-0.6151529653865656
height src,104,6.214285714285714,0.30204377387955333,2,2025-10-20,2025-10-27,0.6064521881894457,-0.6064521881894457
height src width,104,6.214285714285714,0.30204377387955333,2,2025-10-20,2025-10-27,0.6064521881894457,-0.6064521881894457
new,135,5.988095238095238,0.3294634118117397,7,2025-09-08,2025-10-20,0.5134749305159639,-0.5134749305159639
figure figure,97,5.773809523809524,0.30995873550624103,1,2025-10-20,2025-10-20,0.5832428382235979,-0.5832428382235979
ideas,103,5.607142857142857,0.33341655244561336,3,2025-09-08,2025-10-20,0.5498255931552659,-0.5498255931552659
available,90,5.357142857142857,0.30995873550624103,1,2025-10-20,2025-10-20,0.5615811625295991,-0.5615811625295991
div,88,5.285714285714286,0.29121285673341646,2,2025-10-20,2025-10-27,0.5602845937176475,-0.5602845937176475
makeup,152,5.0476190476190474,0.42141617489340977,7,2025-09-08,2025-10-20,0.40807581355319517,-0.40807581355319517
style,94,4.857142857142857,0.28025037645025186,5,2025-09-29,2025-10-27,0.49833234244136054,-0.49833234244136054
just,99,4.845238095238095,0.3358062818716886,5,2025-09-08,2025-10-20,0.48452380952380947,-0.48452380952380947
right,95,4.7023809523809526,0.32672337842817684,4,2025-09-15,2025-10-20,0.479934746229839,-0.479934746229839
alt,78,4.666666666666667,0.2993998280626263,2,2025-10-20,2025-10-27,0.5250410204321445,-0.5250410204321445
figcaption figure,78,4.642857142857143,0.30995873550624103,1,2025-10-20,2025-10-20,0.522362239715654,-0.522362239715654
img alt,77,4.607142857142857,0.2992624106801759,2,2025-10-20,2025-10-27,0.5216562050166172,-0.5216562050166172
shorts,77,4.583333333333333,0.30995873550624103,1,2025-10-20,2025-10-20,0.518960307316273,-0.518960307316273
interior,110,4.4523809523809526,0.3053375782309511,6,2025-09-08,2025-10-20,0.4226012981088508,-0.4226012981088508
text,81,4.369047619047619,0.3241513809905504,3,2025-09-15,2025-10-27,0.4824805960651033,-0.4824805960651033
decor,117,4.2023809523809526,0.30729185070323733,7,2025-09-08,2025-10-20,0.38686052395012877,-0.38686052395012877
wear,116,4.0,0.37650797828910204,6,2025-09-08,2025-10-20,0.3698001308168194,-0.3698001308168194
src figure,67,3.988095238095238,0.30995873550624103,1,2025-10-20,2025-10-20,0.48362758563792585,-0.48362758563792585
beauty,177,3.869047619047619,0.4451737297989304,7,2025-09-15,2025-10-27,0.2899973796710178,-0.2899973796710178
look,81,3.8214285714285716,0.30939986934593483,5,2025-09-22,2025-10-20,0.42200618892887787,-0.42200618892887787
figure figure img,63,3.75,0.30995873550624103,1,2025-10-20,2025-10-20,0.46875,-0.46875
dress,63,3.75,0.30995873550624103,1,2025-10-20,2025-10-20,0.46875,-0.46875
