Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
graziamagazine,8,-0.38095238095238093,0.10304617317954043,3,2026-06-08,2026-07-06,-0.12698412698412698,0.12698412698412698,0.12698412698412698
summer beauty,8,-0.2857142857142857,0.3559176837495822,2,2026-06-15,2026-06-29,-0.09523809523809523,0.09523809523809523,0.09523809523809523
mascara,6,-0.21428571428571427,0.3914300823514173,2,2026-06-08,2026-07-20,-0.08099238707340582,0.08099238707340582,0.08099238707340582
categories,5,-0.15476190476190477,0.5190083817574701,2,2026-06-15,2026-07-27,-0.0631812830479788,0.0631812830479788,0.0631812830479788
channels,5,-0.15476190476190477,0.5190083817574701,2,2026-06-15,2026-07-27,-0.0631812830479788,0.0631812830479788,0.0631812830479788
online,5,-0.15476190476190477,0.5190083817574701,2,2026-06-15,2026-07-27,-0.0631812830479788,0.0631812830479788,0.0631812830479788
shaping,5,-0.15476190476190477,0.5190083817574701,2,2026-06-15,2026-07-27,-0.0631812830479788,0.0631812830479788,0.0631812830479788
asked,7,-0.17857142857142858,0.4702455644802153,3,2026-06-15,2026-07-27,-0.06313453403451316,0.06313453403451316,0.06313453403451316
experts,6,-0.16666666666666666,0.5108204797020675,2,2026-06-15,2026-07-13,-0.0629940788348712,0.0629940788348712,0.0629940788348712
hype,6,-0.16666666666666666,0.333601087148137,3,2026-06-08,2026-07-20,-0.0629940788348712,0.0629940788348712,0.0629940788348712
routines,7,-0.13095238095238096,0.6005420106400473,3,2026-06-08,2026-07-27,-0.046298658291976325,0.046298658291976325,0.046298658291976325
real simple,6,-0.11904761904761904,0.6418633492047857,2,2026-06-15,2026-07-20,-0.04499577059633657,0.04499577059633657,0.04499577059633657
arabia,6,-0.07142857142857142,0.8460525238666444,1,2026-06-29,2026-06-29,-0.02699746235780194,0.02699746235780194,0.02699746235780194
check,6,-0.07142857142857142,0.7815623408776118,2,2026-06-15,2026-07-27,-0.02699746235780194,0.02699746235780194,0.02699746235780194
creators,6,-0.07142857142857142,0.7815623408776118,2,2026-06-15,2026-07-06,-0.02699746235780194,0.02699746235780194,0.02699746235780194
flattering beauty,6,-0.07142857142857142,0.8460525238666444,1,2026-06-29,2026-06-29,-0.02699746235780194,0.02699746235780194,0.02699746235780194
flattering beauty trend,6,-0.07142857142857142,0.8460525238666444,1,2026-06-29,2026-06-29,-0.02699746235780194,0.02699746235780194,0.02699746235780194
makeup summer flattering,6,-0.07142857142857142,0.8460525238666444,1,2026-06-29,2026-06-29,-0.02699746235780194,0.02699746235780194,0.02699746235780194
prestige,6,-0.07142857142857142,0.7815623408776118,2,2026-06-15,2026-07-27,-0.02699746235780194,0.02699746235780194,0.02699746235780194
singapore,6,-0.07142857142857142,0.7815623408776118,2,2026-06-15,2026-07-27,-0.02699746235780194,0.02699746235780194,0.02699746235780194
summer flattering beauty,6,-0.07142857142857142,0.8460525238666444,1,2026-06-29,2026-06-29,-0.02699746235780194,0.02699746235780194,0.02699746235780194
toasty,6,-0.07142857142857142,0.8460525238666444,1,2026-06-29,2026-06-29,-0.02699746235780194,0.02699746235780194,0.02699746235780194
toasty makeup,6,-0.07142857142857142,0.8460525238666444,1,2026-06-29,2026-06-29,-0.02699746235780194,0.02699746235780194,0.02699746235780194
toasty makeup summer,6,-0.07142857142857142,0.8460525238666444,1,2026-06-29,2026-06-29,-0.02699746235780194,0.02699746235780194,0.02699746235780194
trend vogue arabia,6,-0.07142857142857142,0.8460525238666444,1,2026-06-29,2026-06-29,-0.02699746235780194,0.02699746235780194,0.02699746235780194
vogue arabia,6,-0.07142857142857142,0.8460525238666444,1,2026-06-29,2026-06-29,-0.02699746235780194,0.02699746235780194,0.02699746235780194
yahoo creators,6,-0.07142857142857142,0.7815623408776118,2,2026-06-15,2026-07-06,-0.02699746235780194,0.02699746235780194,0.02699746235780194
expert,5,-0.05952380952380952,0.8072058554846185,2,2026-06-22,2026-07-27,-0.024300493479991848,0.024300493479991848,0.024300493479991848
korean skincare,5,-0.05952380952380952,0.8072058554846185,2,2026-06-22,2026-07-27,-0.024300493479991848,0.024300493479991848,0.024300493479991848
told,5,-0.05952380952380952,0.8072058554846185,2,2026-06-22,2026-07-27,-0.024300493479991848,0.024300493479991848,0.024300493479991848
arabia toasty,3,-0.03571428571428571,0.8460525238666444,1,2026-06-29,2026-06-29,-0.017857142857142856,0.017857142857142856,0.017857142857142856
arabia toasty makeup,3,-0.03571428571428571,0.8460525238666444,1,2026-06-29,2026-06-29,-0.017857142857142856,0.017857142857142856,0.017857142857142856
creators summer,3,-0.03571428571428571,0.7815623408776118,2,2026-06-15,2026-07-06,-0.017857142857142856,0.017857142857142856,0.017857142857142856
simple beauty,3,-0.03571428571428571,0.7815623408776118,2,2026-06-15,2026-07-27,-0.017857142857142856,0.017857142857142856,0.017857142857142856
vogue arabia toasty,3,-0.03571428571428571,0.8460525238666444,1,2026-06-29,2026-06-29,-0.017857142857142856,0.017857142857142856,0.017857142857142856
yahoo creators summer,3,-0.03571428571428571,0.7815623408776118,2,2026-06-15,2026-07-06,-0.017857142857142856,0.017857142857142856,0.017857142857142856
korean,12,-0.047619047619047616,0.89457909100177,3,2026-06-15,2026-07-27,-0.013207147529172122,0.013207147529172122,0.013207147529172122
