Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
strong,355,38.035714285714285,0.14381080871160382,1,2026-06-15,2026-06-15,2.015888825369238,-2.015888825369238,2.015888825369238
div,200,21.428571428571427,0.14381080871160395,1,2026-06-15,2026-06-15,1.5114548911255676,-1.5114548911255676,1.5114548911255676
height,121,12.964285714285714,0.14381080871160395,1,2026-06-15,2026-06-15,1.1737312790512222,-1.1737312790512222,1.1737312790512222
width,120,12.857142857142856,0.14381080871160395,1,2026-06-15,2026-06-15,1.1688311688311688,-1.1688311688311688,1.1688311688311688
div div,91,9.75,0.14381080871160395,1,2026-06-15,2026-06-15,1.0165077685282395,-1.0165077685282395,1.0165077685282395
figcaption,87,9.321428571428571,0.14381080871160395,1,2026-06-15,2026-06-15,0.9936676244431129,-0.9936676244431129,0.9936676244431129
src,86,9.214285714285714,0.14381080871160395,1,2026-06-15,2026-06-15,0.9878751213862537,-0.9878751213862537,0.9878751213862537
like,93,9.035714285714285,0.14099288202527782,3,2026-05-18,2026-06-15,0.9319627689409811,-0.9319627689409811,0.9319627689409811
figure,76,8.14285714285714,0.14381080871160395,1,2026-06-15,2026-06-15,0.9279646940284801,-0.9279646940284801,0.9279646940284801
available,73,7.821428571428571,0.14381080871160382,1,2026-06-15,2026-06-15,0.9092226030320151,-0.9092226030320151,0.9092226030320151
height src,68,7.285714285714286,0.14381080871160382,1,2026-06-15,2026-06-15,0.8770969296248898,-0.8770969296248898,0.8770969296248898
height src width,68,7.285714285714286,0.14381080871160382,1,2026-06-15,2026-06-15,0.8770969296248898,-0.8770969296248898,0.8770969296248898
src width,68,7.285714285714286,0.14381080871160382,1,2026-06-15,2026-06-15,0.8770969296248898,-0.8770969296248898,0.8770969296248898
src width figcaption,68,7.285714285714286,0.14381080871160382,1,2026-06-15,2026-06-15,0.8770969296248898,-0.8770969296248898,0.8770969296248898
width figcaption,68,7.285714285714286,0.14381080871160382,1,2026-06-15,2026-06-15,0.8770969296248898,-0.8770969296248898,0.8770969296248898
color,61,6.535714285714286,0.14381080871160382,1,2026-06-15,2026-06-15,0.8300365443226736,-0.8300365443226736,0.8300365443226736
noopener,60,6.428571428571428,0.14381080871160395,1,2026-06-15,2026-06-15,0.8230942281400455,-0.8230942281400455,0.8230942281400455
noreferrer,60,6.428571428571428,0.14381080871160395,1,2026-06-15,2026-06-15,0.8230942281400455,-0.8230942281400455,0.8230942281400455
rel,60,6.428571428571428,0.14381080871160395,1,2026-06-15,2026-06-15,0.8230942281400455,-0.8230942281400455,0.8230942281400455
target,60,6.428571428571428,0.14381080871160395,1,2026-06-15,2026-06-15,0.8230942281400455,-0.8230942281400455,0.8230942281400455
strong strong,58,6.2142857142857135,0.14381080871160395,1,2026-06-15,2026-06-15,0.8090310896665482,-0.8090310896665482,0.8090310896665482
day,56,6.0,0.14381080871160382,1,2026-06-15,2026-06-15,0.7947194142390263,-0.7947194142390263,0.7947194142390263
noopener target,54,5.785714285714286,0.14381080871160395,1,2026-06-15,2026-06-15,0.7801455551360372,-0.7801455551360372,0.7801455551360372
noreferrer noopener,54,5.785714285714286,0.14381080871160395,1,2026-06-15,2026-06-15,0.7801455551360372,-0.7801455551360372,0.7801455551360372
noreferrer noopener target,54,5.785714285714286,0.14381080871160395,1,2026-06-15,2026-06-15,0.7801455551360372,-0.7801455551360372,0.7801455551360372
rel noreferrer,54,5.785714285714286,0.14381080871160395,1,2026-06-15,2026-06-15,0.7801455551360372,-0.7801455551360372,0.7801455551360372
rel noreferrer noopener,54,5.785714285714286,0.14381080871160395,1,2026-06-15,2026-06-15,0.7801455551360372,-0.7801455551360372,0.7801455551360372
available height,49,5.25,0.14381080871160395,1,2026-06-15,2026-06-15,0.7424621202458749,-0.7424621202458749,0.7424621202458749
available height src,49,5.25,0.14381080871160395,1,2026-06-15,2026-06-15,0.7424621202458749,-0.7424621202458749,0.7424621202458749
girls,48,5.142857142857142,0.14381080871160395,1,2026-06-15,2026-06-15,0.7346938775510203,-0.7346938775510203,0.7346938775510203
new,54,5.428571428571428,0.10833063117727937,3,2026-06-01,2026-06-15,0.7319884221029485,-0.7319884221029485,0.7319884221029485
just,40,4.142857142857142,0.1311879781967665,2,2026-06-01,2026-06-15,0.6470055849670822,-0.6470055849670822,0.6470055849670822
time,36,3.8571428571428568,0.14381080871160395,1,2026-06-15,2026-06-15,0.6341103796063781,-0.6341103796063781,0.6341103796063781
img,34,3.642857142857143,0.14381080871160382,1,2026-06-15,2026-06-15,0.6157552427307763,-0.6157552427307763,0.6157552427307763
figure img,33,3.5357142857142856,0.14381080871160382,1,2026-06-15,2026-06-15,0.6063699974681562,-0.6063699974681562,0.6063699974681562
think,33,3.5357142857142856,0.14381080871160382,1,2026-06-15,2026-06-15,0.6063699974681562,-0.6063699974681562,0.6063699974681562
skincare,73,5.178571428571428,0.09891099082181978,5,2026-05-11,2026-06-15,0.6019967006376354,-0.6019967006376354,0.6019967006376354
right,34,3.5,0.12902030861529262,2,2026-06-01,2026-06-15,0.5916079783099616,-0.5916079783099616,0.5916079783099616
lip,49,4.178571428571428,0.12741661692881653,4,2026-05-11,2026-06-15,0.5909392385630432,-0.5909392385630432,0.5909392385630432
people,29,3.1071428571428568,0.14381080871160395,1,2026-06-15,2026-06-15,0.5672840774160648,-0.5672840774160648,0.5672840774160648
feel,27,2.892857142857143,0.14381080871160395,1,2026-06-15,2026-06-15,0.5466986127454894,-0.5466986127454894,0.5466986127454894
