Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
div,943,101.03571428571428,0.14381080871160384,1,2025-11-24,2025-11-24,3.288432403256703,-3.288432403256703,3.288432403256703
div div,485,51.96428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,2.357147867559209,-2.357147867559209,2.357147867559209
height,380,40.714285714285715,0.14381080871160384,1,2025-11-24,2025-11-24,2.085856043998423,-2.085856043998423,2.085856043998423
width,363,38.89285714285714,0.14381080871160384,1,2025-11-24,2025-11-24,2.0385396199824446,-2.0385396199824446,2.0385396199824446
strong,353,37.82142857142857,0.14381080871160368,1,2025-11-24,2025-11-24,2.0101862487730187,-2.0101862487730187,2.0101862487730187
noopener,236,25.285714285714285,0.14381080871160368,1,2025-11-24,2025-11-24,1.6424836433672667,-1.6424836433672667,1.6424836433672667
noreferrer,236,25.285714285714285,0.14381080871160368,1,2025-11-24,2025-11-24,1.6424836433672667,-1.6424836433672667,1.6424836433672667
rel,236,25.285714285714285,0.14381080871160368,1,2025-11-24,2025-11-24,1.6424836433672667,-1.6424836433672667,1.6424836433672667
target,235,25.178571428571427,0.14381080871160384,1,2025-11-24,2025-11-24,1.6389853971693005,-1.6389853971693005,1.6389853971693005
color,233,24.892857142857142,0.14014213701634518,2,2025-11-17,2025-11-24,1.627296978468027,-1.627296978468027,1.627296978468027
noreferrer noopener,202,21.642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,1.5190307794436408,-1.5190307794436408,1.5190307794436408
rel noreferrer,202,21.642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,1.5190307794436408,-1.5190307794436408,1.5190307794436408
rel noreferrer noopener,202,21.642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,1.5190307794436408,-1.5190307794436408,1.5190307794436408
noopener target,201,21.535714285714285,0.14381080871160368,1,2025-11-24,2025-11-24,1.5152475695441643,-1.5152475695441643,1.5152475695441643
noreferrer noopener target,201,21.535714285714285,0.14381080871160368,1,2025-11-24,2025-11-24,1.5152475695441643,-1.5152475695441643,1.5152475695441643
sale,125,13.392857142857142,0.14381080871160368,1,2025-11-24,2025-11-24,1.1931305442518945,-1.1931305442518945,1.1931305442518945
src,118,12.642857142857142,0.14381080871160368,1,2025-11-24,2025-11-24,1.1589688140999528,-1.1589688140999528,1.1589688140999528
figcaption,117,12.535714285714285,0.14381080871160384,1,2025-11-24,2025-11-24,1.154006038865398,-1.154006038865398,1.154006038865398
