Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down
strong,307,25.142857142857142,0.11302332479745725,2,2025-10-13,2025-10-20,1.4326472469211626,-1.4326472469211626
figure,81,7.392857142857142,0.03029554147069901,2,2025-10-13,2025-10-20,0.816404496339044,-0.816404496339044
makeup,137,6.821428571428572,0.19322588588319783,7,2025-09-08,2025-10-20,0.5806785620532893,-0.5806785620532893
src,73,6.785714285714286,0.03083723401165192,2,2025-10-13,2025-10-20,0.788823262904488,-0.788823262904488
div,66,5.071428571428571,0.2264001996007618,2,2025-10-13,2025-10-20,0.6195736106641193,-0.6195736106641193
trend,169,4.285714285714286,0.2722759303378404,7,2025-09-08,2025-10-20,0.3286992809345873,-0.3286992809345873
new,64,4.142857142857142,0.11345497240199205,5,2025-09-08,2025-10-20,0.5138581861552921,-0.5138581861552921
like,55,3.7857142857142856,0.0941082103830367,4,2025-09-15,2025-10-20,0.5058873507628033,-0.5058873507628033
img,41,3.75,0.030183975839569287,2,2025-10-13,2025-10-20,0.5786375623578447,-0.5786375623578447
figure img,41,3.75,0.030183975839569287,2,2025-10-13,2025-10-20,0.5786375623578447,-0.5786375623578447
day,41,3.142857142857143,0.16130864867452774,3,2025-10-06,2025-10-20,0.484953385595146,-0.484953385595146
beauty,183,3.0357142857142856,0.1837869288383639,7,2025-09-08,2025-10-20,0.2237958263065403,-0.2237958263065403
moon,33,2.892857142857143,0.042094874926378346,2,2025-10-13,2025-10-20,0.49612090701940054,-0.49612090701940054
just,37,2.892857142857143,0.07232050741795687,3,2025-09-22,2025-10-20,0.4692833968425631,-0.4692833968425631
time,33,2.7857142857142856,0.07307567683998048,2,2025-10-13,2025-10-20,0.47774605861127456,-0.47774605861127456
season,38,2.785714285714285,0.1267745704971504,4,2025-09-29,2025-10-20,0.4460712855998855,-0.4460712855998855
trending,29,2.642857142857143,0.16273658944308678,3,2025-09-08,2025-10-20,0.48251749113550346,-0.48251749113550346
sun,30,2.5,0.08855680204602347,2,2025-10-13,2025-10-20,0.4490132550669373,-0.4490132550669373
october,33,2.5,0.25373200206462765,2,2025-10-13,2025-10-20,0.42874646285627205,-0.42874646285627205
feel,32,2.428571428571429,0.25029350536784783,2,2025-10-13,2025-10-20,0.4227600216066948,-0.4227600216066948
