source,query,url,created_utc,title,text
youtube,beauty trends,https://www.youtube.com/watch?v=cmPbcMwAQq0,1774941931,"explore the evolution of lip fillers generations!See how beauty trends, and styles have changed","lip fillers evolution, lip fillers generations, evolution of lip fillers, lip filler history, cosmetic fillers evolution, dermal fillers timeline, ..."
youtube,beauty trends,https://www.youtube.com/watch?v=mpZaQJGyDnw,1774935672,Unveil Your Chilled White Skin with Simple Adjustments! Skincare BeautyTrends,"Chinese: 简单调整，解锁冷白肌的秘密！护肤美妆趋势Description: Discover the secret to achieving a stunning, chilled white skin ..."
youtube,beauty trends,https://www.youtube.com/watch?v=-ryjk7V9SZk,1774931694,Whats your favorite brown mascara? Im using the e.l.f. #Shorts #wearablemagic,Whats your favorite brown mascara? Im using the e.l.f. Whats your favorite brown mascara? Im using the e.l.f. Whats your favorite ...
youtube,beauty trends,https://www.youtube.com/watch?v=enZ0p68kVo0,1774929935,Bold Red Lips Glam  | Next Level Beauty Hack  #MakeupTransformation #BeautyTrends,Bold Red Lips Glam | Next Level Beauty Hack #MakeupTransformation #BeautyTrends Red Lips Transformation Magic ...
youtube,beauty trends,https://www.youtube.com/watch?v=BysWeZ46T-s,1774924935,Tại sao bảng mắt TF mới ra lại trống trơn #makeup #lamdep #xuhuong,
youtube,beauty trends,https://www.youtube.com/watch?v=mP886Ix_J94,1774924736,Title: Unleash Your Bold Beauty: Only a Few Viewers Know This Secret,"Tags: Beauty Tips, Trending Products, The One Mill, Makeup Hacks, Beauty Secrets Description Hey beauty enthusiasts, are you ..."
youtube,beauty trends,https://www.youtube.com/watch?v=eNYXaV1kmys,1774909597,Updated hair care routine with my keratin treatment and hair... #Shorts #yourdreamgur1,Updated hair care routine with my keratin treatment and hair... Updated hair care routine with my keratin treatment and hair.
youtube,beauty trends,https://www.youtube.com/watch?v=RywmnWlxPSA,1774902271,Cosmetic Contact Lenses Unveiled: A Beauty Showcase,"Unlock stunning beauty secrets with just a blink! Dive into a world of cosmetic contact lenses, and get ready to redefine your ..."
youtube,beauty trends,https://www.youtube.com/watch?v=NdJYFYk6Wdg,1774898395,Fwee Transfer-proof lip liner @fweemakeup #fwee #lips #trends #fypviral #beauty #fypシ,
youtube,beauty trends,https://www.youtube.com/watch?v=xPAugHwa4Q4,1774898204,ABIB GLUTATHIONE EYE PATCH #eyepatches #kbeauty #glutathione #trends #beauty #kbeauty,
