Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
southern living,10,-0.5714285714285714,0.025031015818452934,4,2025-11-24,2025-12-15,-0.1722921969015792,0.1722921969015792,0.1722921969015792
according experts,6,-0.42857142857142855,0.3632174676491228,1,2025-12-01,2025-12-01,-0.16198477414681164,0.16198477414681164,0.16198477414681164
pinterest,20,-0.6428571428571428,0.6565560437842333,2,2025-12-08,2025-12-15,-0.14028292943742365,0.14028292943742365,0.14028292943742365
southern,11,-0.46428571428571425,0.06931139069831682,5,2025-11-24,2026-01-05,-0.1340277410618774,0.1340277410618774,0.1340277410618774
decorating trends,8,-0.3571428571428571,0.2639799333653897,3,2025-11-24,2025-12-15,-0.11904761904761903,0.11904761904761903,0.11904761904761903
need,9,-0.3214285714285714,0.4935058605427207,3,2025-11-24,2026-01-05,-0.10164463907684075,0.10164463907684075,0.10164463907684075
pinterest just,6,-0.21428571428571427,0.6606421552406505,1,2025-12-08,2025-12-08,-0.08099238707340582,0.08099238707340582,0.08099238707340582
history,5,-0.1785714285714286,0.5766577326726228,2,2025-12-01,2026-01-05,-0.07290148043997556,0.07290148043997556,0.07290148043997556
comeback,10,-0.21428571428571427,0.6918655546568113,2,2025-12-08,2025-12-15,-0.0646095738380922,0.0646095738380922,0.0646095738380922
business insider,6,-0.14285714285714282,0.6734284355375539,2,2025-12-08,2025-12-15,-0.053994924715603874,0.053994924715603874,0.053994924715603874
insider,6,-0.14285714285714282,0.6734284355375539,2,2025-12-08,2025-12-15,-0.053994924715603874,0.053994924715603874,0.053994924715603874
popular home design,6,-0.14285714285714282,0.6734284355375539,2,2025-12-08,2025-12-15,-0.053994924715603874,0.053994924715603874,0.053994924715603874
trends pinterest,6,-0.14285714285714282,0.6734284355375539,2,2025-12-08,2025-12-15,-0.053994924715603874,0.053994924715603874,0.053994924715603874
beautiful pinterest,3,-0.10714285714285714,0.6606421552406505,1,2025-12-08,2025-12-08,-0.05357142857142857,0.05357142857142857,0.05357142857142857
beautiful pinterest just,3,-0.10714285714285714,0.6606421552406505,1,2025-12-08,2025-12-08,-0.05357142857142857,0.05357142857142857,0.05357142857142857
house beautiful pinterest,3,-0.10714285714285714,0.6606421552406505,1,2025-12-08,2025-12-08,-0.05357142857142857,0.05357142857142857,0.05357142857142857
buzzfeed,16,-0.21428571428571427,0.7349201962234642,4,2025-12-01,2026-01-05,-0.051971919650642774,0.051971919650642774,0.051971919650642774
popular,8,-0.14285714285714285,0.7349201962234642,2,2025-12-08,2025-12-15,-0.047619047619047616,0.047619047619047616,0.047619047619047616
popular home,8,-0.14285714285714285,0.7349201962234642,2,2025-12-08,2025-12-15,-0.047619047619047616,0.047619047619047616,0.047619047619047616
set define,8,-0.14285714285714285,0.7349201962234642,2,2025-12-08,2025-12-15,-0.047619047619047616,0.047619047619047616,0.047619047619047616
trends set define,8,-0.14285714285714285,0.7349201962234642,2,2025-12-08,2025-12-15,-0.047619047619047616,0.047619047619047616,0.047619047619047616
buzzfeed people,5,-0.10714285714285712,0.5990268851204706,3,2025-12-01,2026-01-05,-0.04374088826398532,0.04374088826398532,0.04374088826398532
design trends set,10,-0.14285714285714288,0.792612870667252,2,2025-12-08,2025-12-15,-0.04307304922539481,0.04307304922539481,0.04307304922539481
trends set,10,-0.14285714285714288,0.792612870667252,2,2025-12-08,2025-12-15,-0.04307304922539481,0.04307304922539481,0.04307304922539481
real simple home,4,-0.07142857142857142,0.7349201962234642,2,2025-12-01,2025-12-22,-0.03194382824999699,0.03194382824999699,0.03194382824999699
simple home,4,-0.07142857142857142,0.7349201962234642,2,2025-12-01,2025-12-22,-0.03194382824999699,0.03194382824999699,0.03194382824999699
simple home trends,4,-0.07142857142857142,0.7349201962234642,2,2025-12-01,2025-12-22,-0.03194382824999699,0.03194382824999699,0.03194382824999699
vogue,8,-0.07142857142857144,0.8343306281546262,3,2025-12-08,2025-12-22,-0.02380952380952381,0.02380952380952381,0.02380952380952381
real simple,14,-0.07142857142857142,0.914364914946002,3,2025-12-01,2025-12-22,-0.018442777839082936,0.018442777839082936,0.018442777839082936
bold,5,-0.03571428571428571,0.9125666215515942,2,2025-12-08,2026-01-05,-0.014580296087995109,0.014580296087995109,0.014580296087995109
key,5,-0.03571428571428571,0.9125666215515942,2,2025-12-08,2026-01-05,-0.014580296087995109,0.014580296087995109,0.014580296087995109
business,7,-0.03571428571428571,0.914364914946002,3,2025-12-08,2026-01-05,-0.012626906806902633,0.012626906806902633,0.012626906806902633
apartment therapy,20,-3.172065784643304e-17,1.0,4,2025-12-01,2026-01-05,-6.9220150321463964e-18,6.9220150321463964e-18,6.9220150321463964e-18
therapy,20,-3.172065784643304e-17,1.0,4,2025-12-01,2026-01-05,-6.9220150321463964e-18,6.9220150321463964e-18,6.9220150321463964e-18
decor trend,6,-1.586032892321652e-17,1.0,3,2025-12-01,2026-01-05,-5.994640863216536e-18,5.994640863216536e-18,5.994640863216536e-18
surprising,10,-1.586032892321652e-17,1.0,3,2025-12-08,2026-01-05,-4.782069099084607e-18,4.782069099084607e-18,4.782069099084607e-18
gardens home,4,-7.93016446160826e-18,1.0,2,2025-12-08,2025-12-22,-3.546477361781818e-18,3.546477361781818e-18,3.546477361781818e-18
gardens home trends,4,-7.93016446160826e-18,1.0,2,2025-12-08,2025-12-22,-3.546477361781818e-18,3.546477361781818e-18,3.546477361781818e-18
homes gardens home,4,-7.93016446160826e-18,1.0,2,2025-12-08,2025-12-22,-3.546477361781818e-18,3.546477361781818e-18,3.546477361781818e-18
