Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
class,41,4.392857142857142,0.14381080871160395,1,2026-03-09,2026-03-09,0.6778325730477608,-0.6778325730477608,0.6778325730477608
small,46,4.428571428571428,0.14474518959947802,3,2026-01-26,2026-03-09,0.6459735337763901,-0.6459735337763901,0.6459735337763901
diy,34,3.642857142857143,0.14381080871160382,1,2026-03-09,2026-03-09,0.6157552427307763,-0.6157552427307763,0.6157552427307763
interior,65,4.75,0.17103480640378074,5,2026-01-26,2026-03-09,0.5846845821518305,-0.5846845821518305,0.5846845821518305
class rws,30,3.214285714285714,0.14381080871160395,1,2026-03-09,2026-03-09,0.5773027565146336,-0.5773027565146336,0.5773027565146336
post,30,3.214285714285714,0.14381080871160395,1,2026-03-09,2026-03-09,0.5773027565146336,-0.5773027565146336,0.5773027565146336
rws,30,3.214285714285714,0.14381080871160395,1,2026-03-09,2026-03-09,0.5773027565146336,-0.5773027565146336,0.5773027565146336
shorts,28,3.0,0.14381080871160382,1,2026-03-09,2026-03-09,0.5570860145311556,-0.5570860145311556,0.5570860145311556
modern,33,3.1785714285714284,0.1621360416943932,2,2026-02-02,2026-03-09,0.545120502774403,-0.545120502774403,0.545120502774403
bedroom,26,2.7857142857142856,0.14381080871160395,1,2026-03-09,2026-03-09,0.5361109642475096,-0.5361109642475096,0.5361109642475096
homes,46,3.3571428571428568,0.15708297904442434,6,2026-01-26,2026-03-09,0.48968961431436026,-0.48968961431436026,0.48968961431436026
wall,21,2.25,0.14381080871160395,1,2026-03-09,2026-03-09,0.47970161180012344,-0.47970161180012344,0.47970161180012344
architecture,20,2.142857142857143,0.14381080871160382,1,2026-03-09,2026-03-09,0.46760976479141225,-0.46760976479141225,0.46760976479141225
craft,20,2.142857142857143,0.14381080871160382,1,2026-03-09,2026-03-09,0.46760976479141225,-0.46760976479141225,0.46760976479141225
div,20,2.142857142857143,0.14381080871160382,1,2026-03-09,2026-03-09,0.46760976479141225,-0.46760976479141225,0.46760976479141225
post thumbnail,20,2.142857142857143,0.14381080871160382,1,2026-03-09,2026-03-09,0.46760976479141225,-0.46760976479141225,0.46760976479141225
thumbnail,20,2.142857142857143,0.14381080871160382,1,2026-03-09,2026-03-09,0.46760976479141225,-0.46760976479141225,0.46760976479141225
interior design,45,3.0357142857142856,0.2017131894598522,4,2026-01-26,2026-03-09,0.4475916526130806,-0.4475916526130806,0.4475916526130806
design ideas,18,1.9285714285714284,0.14381080871160395,1,2026-03-09,2026-03-09,0.4424446296075119,-0.4424446296075119,0.4424446296075119
luxury,18,1.9285714285714284,0.14381080871160395,1,2026-03-09,2026-03-09,0.4424446296075119,-0.4424446296075119,0.4424446296075119
hanging,17,1.8214285714285714,0.14381080871160382,1,2026-03-09,2026-03-09,0.4293148314346896,-0.4293148314346896,0.4293148314346896
