Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
diy,42,4.5,0.14381080871160395,1,2026-03-09,2026-03-09,0.686243566496721,-0.686243566496721,0.686243566496721
class,40,4.285714285714286,0.14381080871160382,1,2026-03-09,2026-03-09,0.6693161223797403,-0.6693161223797403,0.6693161223797403
post,31,3.321428571428571,0.14381080871160395,1,2026-03-09,2026-03-09,0.5871511665209724,-0.5871511665209724,0.5871511665209724
class rws,30,3.214285714285714,0.14381080871160395,1,2026-03-09,2026-03-09,0.5773027565146336,-0.5773027565146336,0.5773027565146336
rws,30,3.214285714285714,0.14381080871160395,1,2026-03-09,2026-03-09,0.5773027565146336,-0.5773027565146336,0.5773027565146336
homedecor,21,2.25,0.14381080871160395,1,2026-03-09,2026-03-09,0.47970161180012344,-0.47970161180012344,0.47970161180012344
craft,20,2.142857142857143,0.14381080871160382,1,2026-03-09,2026-03-09,0.46760976479141225,-0.46760976479141225,0.46760976479141225
div,20,2.142857142857143,0.14381080871160382,1,2026-03-09,2026-03-09,0.46760976479141225,-0.46760976479141225,0.46760976479141225
post thumbnail,20,2.142857142857143,0.14381080871160382,1,2026-03-09,2026-03-09,0.46760976479141225,-0.46760976479141225,0.46760976479141225
thumbnail,20,2.142857142857143,0.14381080871160382,1,2026-03-09,2026-03-09,0.46760976479141225,-0.46760976479141225,0.46760976479141225
shorts,19,2.035714285714285,0.14381080871160395,1,2026-03-09,2026-03-09,0.45519955256245703,-0.45519955256245703,0.45519955256245703
new,17,1.8214285714285714,0.14381080871160382,1,2026-03-09,2026-03-09,0.4293148314346896,-0.4293148314346896,0.4293148314346896
bedroom,16,1.7142857142857142,0.14381080871160395,1,2026-03-09,2026-03-09,0.4157753572051422,-0.4157753572051422,0.4157753572051422
center,16,1.7142857142857142,0.14381080871160395,1,2026-03-09,2026-03-09,0.4157753572051422,-0.4157753572051422,0.4157753572051422
wall,16,1.7142857142857142,0.14381080871160395,1,2026-03-09,2026-03-09,0.4157753572051422,-0.4157753572051422,0.4157753572051422
home decor,39,2.535714285714286,0.13713655313710693,5,2026-02-02,2026-03-09,0.4009316319142053,-0.4009316319142053,0.4009316319142053
architecture,14,1.5,0.14381080871160382,1,2026-03-09,2026-03-09,0.3872983346207417,-0.3872983346207417,0.3872983346207417
art,13,1.3928571428571428,0.14381080871160395,1,2026-03-09,2026-03-09,0.3722567298065911,-0.3722567298065911,0.3722567298065911
decor ideas,13,1.3928571428571428,0.14381080871160395,1,2026-03-09,2026-03-09,0.3722567298065911,-0.3722567298065911,0.3722567298065911
modern,18,1.5714285714285714,0.18267987517902767,2,2026-02-02,2026-03-09,0.36051043893945417,-0.36051043893945417,0.36051043893945417
ideas diy,12,1.2857142857142856,0.14381080871160395,1,2026-03-09,2026-03-09,0.35659298328764727,-0.35659298328764727,0.35659298328764727
size,12,1.2857142857142856,0.14381080871160395,1,2026-03-09,2026-03-09,0.35659298328764727,-0.35659298328764727,0.35659298328764727
easy,13,1.3214285714285714,0.08224904425323482,2,2026-03-02,2026-03-09,0.3531666410985608,-0.3531666410985608,0.3531666410985608
luxury,11,1.1785714285714286,0.14381080871160395,1,2026-03-09,2026-03-09,0.34022426577245807,-0.34022426577245807,0.34022426577245807
new york,11,1.1785714285714286,0.14381080871160395,1,2026-03-09,2026-03-09,0.34022426577245807,-0.34022426577245807,0.34022426577245807
york,11,1.1785714285714286,0.14381080871160395,1,2026-03-09,2026-03-09,0.34022426577245807,-0.34022426577245807,0.34022426577245807
