period,Count,Term
2025-09-22,0,scalloped mirror
2025-09-22,0,checkerboard rug
2025-09-22,0,bouclé sofa
2025-09-22,0,linen curtains
2025-09-22,0,plaster lamp
2025-09-22,0,parsons table
2025-09-22,0,olive green
2025-09-22,0,chrome side table
2025-09-22,0,IKEA Billy
2025-09-22,0,Zara Home
2025-09-22,0,West Elm
2025-09-22,0,CB2
2025-09-22,1,farmhouse
2025-09-22,0,shiplap
2025-09-22,3,Japandi
2025-09-22,0,coastal grandmother
2025-09-22,0,dopamine decor
2025-09-22,0,mercury glass
2025-09-22,0,open shelving
