Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down
home,178,8.714285714285714,0.1279331558334401,7,2025-10-13,2025-11-24,0.6513362951124012,-0.6513362951124012
design,165,8.535714285714285,0.04379614065562769,7,2025-10-13,2025-11-24,0.6624999130136198,-0.6624999130136198
decor,140,7.642857142857142,0.06786316450567956,7,2025-10-13,2025-11-24,0.6436446825294109,-0.6436446825294109
ideas,78,7.071428571428572,0.14717786104358052,5,2025-10-20,2025-11-24,0.7955978727976885,-0.7955978727976885
trends,217,5.464285714285714,0.028051068544900963,7,2025-10-13,2025-11-24,0.37008812716509015,-0.37008812716509015
apartment,59,4.821428571428571,0.14617178015632312,5,2025-10-20,2025-11-24,0.6224437520690491,-0.6224437520690491
house,67,4.75,0.043847954719031024,6,2025-10-20,2025-11-24,0.5760221094612908,-0.5760221094612908
class,40,4.285714285714286,0.14381080871160368,1,2025-11-24,2025-11-24,0.6693161223797403,-0.6693161223797403
small,55,4.178571428571428,0.08838554630331708,5,2025-10-20,2025-11-24,0.5583850947098866,-0.5583850947098866
space,42,3.7857142857142856,0.1084268703702387,4,2025-10-20,2025-11-24,0.5773160162591462,-0.5773160162591462
post,35,3.6785714285714284,0.11970600787552117,2,2025-11-17,2025-11-24,0.613095238095238,-0.613095238095238
diy,34,3.2857142857142856,0.16150866807425932,2,2025-10-20,2025-11-24,0.5553870816787394,-0.5553870816787394
interior,82,3.2857142857142856,0.03681189901205251,7,2025-10-13,2025-11-24,0.36065399710898255,-0.36065399710898255
class rws,30,3.214285714285714,0.14381080871160384,1,2025-11-24,2025-11-24,0.5773027565146336,-0.5773027565146336
rws,30,3.214285714285714,0.14381080871160384,1,2025-11-24,2025-11-24,0.5773027565146336,-0.5773027565146336
homedecor,29,3.1071428571428568,0.14381080871160384,1,2025-11-24,2025-11-24,0.5672840774160648,-0.5672840774160648
decor ideas,29,3.0357142857142856,0.11484718490302807,2,2025-11-17,2025-11-24,0.5542430641421323,-0.5542430641421323
christmas,45,2.8928571428571423,0.05892378206927393,6,2025-10-20,2025-11-24,0.4265285160195238,-0.4265285160195238
shorts,26,2.7857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.5361109642475096,-0.5361109642475096
home decor,29,2.5357142857142856,0.1155598785752029,3,2025-11-03,2025-11-24,0.4629559712246047,-0.4629559712246047
room,34,2.5,0.05203103955618992,5,2025-10-20,2025-11-24,0.4225771273642583,-0.4225771273642583
interior design,44,2.357142857142857,0.02171006295054018,5,2025-10-27,2025-11-24,0.35138211074996695,-0.35138211074996695
design trends,84,2.2857142857142856,0.09540488753220083,7,2025-10-13,2025-11-24,0.24792052322132133,-0.24792052322132133
tiny,21,2.25,0.14381080871160384,1,2025-11-24,2025-11-24,0.47970161180012344,-0.47970161180012344
div,20,2.142857142857143,0.14381080871160368,1,2025-11-24,2025-11-24,0.46760976479141225,-0.46760976479141225
post thumbnail,20,2.142857142857143,0.14381080871160368,1,2025-11-24,2025-11-24,0.46760976479141225,-0.46760976479141225
thumbnail,20,2.142857142857143,0.14381080871160368,1,2025-11-24,2025-11-24,0.46760976479141225,-0.46760976479141225
new,27,1.9642857142857142,0.20063473394130432,3,2025-10-13,2025-11-24,0.3712151074197767,-0.3712151074197767
living,41,1.9642857142857142,0.030794058057053805,5,2025-10-27,2025-11-24,0.30309586599696625,-0.30309586599696625
transform,18,1.9285714285714284,0.14381080871160384,1,2025-11-24,2025-11-24,0.4424446296075119,-0.4424446296075119
designers,111,1.8214285714285714,0.11509850259204721,7,2025-10-13,2025-11-24,0.1721088225309874,-0.1721088225309874
luxury,21,1.75,0.14975898143898062,3,2025-10-27,2025-11-24,0.3731012536223182,-0.3731012536223182
tiny apartment,16,1.7142857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.4157753572051422,-0.4157753572051422
craft,15,1.607142857142857,0.14381080871160384,1,2025-11-24,2025-11-24,0.40178571428571425,-0.40178571428571425
look,18,1.5714285714285714,0.044460791581261525,3,2025-11-10,2025-11-24,0.36051043893945417,-0.36051043893945417
kitchen,20,1.5,0.006658943509632864,4,2025-11-03,2025-11-24,0.3273268353539886,-0.3273268353539886
house digest,16,1.4285714285714284,0.03431659920639646,2,2025-11-17,2025-11-24,0.3464794643376185,-0.3464794643376185
decor trends,50,1.4285714285714284,0.24619127788407466,6,2025-10-20,2025-11-24,0.20004001200400137,-0.20004001200400137
according,48,1.4285714285714284,0.1274640081581162,6,2025-10-13,2025-11-24,0.2040816326530612,-0.2040816326530612
