Term,estimate,p_value,Total,Weeks
CB2,0.0,1.0,0,1
IKEA Billy,0.0,1.0,0,1
Japandi,0.0,1.0,3,1
West Elm,0.0,1.0,0,1
Zara Home,0.0,1.0,0,1
bouclé sofa,0.0,1.0,0,1
checkerboard rug,0.0,1.0,0,1
chrome side table,0.0,1.0,0,1
coastal grandmother,0.0,1.0,0,1
dopamine decor,0.0,1.0,0,1
farmhouse,0.0,1.0,1,1
linen curtains,0.0,1.0,0,1
mercury glass,0.0,1.0,0,1
olive green,0.0,1.0,0,1
open shelving,0.0,1.0,0,1
parsons table,0.0,1.0,0,1
plaster lamp,0.0,1.0,0,1
scalloped mirror,0.0,1.0,0,1
shiplap,0.0,1.0,0,1
