Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
strong,151,12.214285714285714,0.1327039137856382,2,2025-11-17,2025-11-24,0.9907093933342997,-0.9907093933342997,0.9907093933342997
figure,59,4.57142857142857,0.21045640605487104,2,2025-11-17,2025-11-24,0.5901688908506538,-0.5901688908506538,0.5901688908506538
people,66,4.785714285714286,0.336310757747051,2,2025-11-17,2025-11-24,0.5846680551337464,-0.5846680551337464,0.5846680551337464
strong strong,35,3.4285714285714284,0.051193074938506514,2,2025-11-17,2025-11-24,0.5714285714285714,-0.5714285714285714,0.5714285714285714
src,39,3.0000000000000004,0.224318894784883,2,2025-11-17,2025-11-24,0.47434164902525694,-0.47434164902525694,0.47434164902525694
alt,35,2.714285714285714,0.20875454609531766,2,2025-11-17,2025-11-24,0.45238095238095233,-0.45238095238095233,0.45238095238095233
just,41,2.9285714285714284,0.2999616727189507,3,2025-10-27,2025-11-24,0.45188838203184056,-0.45188838203184056,0.45188838203184056
figcaption,39,2.785714285714286,0.36321746764912255,1,2025-11-17,2025-11-17,0.44046010266631,-0.44046010266631,0.44046010266631
idea,36,2.571428571428571,0.36321746764912255,1,2025-11-17,2025-11-17,0.4227402530709187,-0.4227402530709187,0.4227402530709187
work,32,2.3214285714285716,0.29382232528514746,3,2025-11-10,2025-11-24,0.40410884418287,-0.40410884418287,0.40410884418287
img,30,2.178571428571429,0.33359251168153214,2,2025-11-17,2025-11-24,0.39128297941547396,-0.39128297941547396,0.39128297941547396
img alt,30,2.178571428571429,0.33359251168153214,2,2025-11-17,2025-11-24,0.39128297941547396,-0.39128297941547396,0.39128297941547396
strong strong strong,16,1.607142857142857,0.07087232055551956,2,2025-11-17,2025-11-24,0.3897893973798208,-0.3897893973798208,0.3897893973798208
time,29,2.0,0.33784275854569185,3,2025-10-27,2025-11-24,0.3651483716701107,-0.3651483716701107,0.3651483716701107
need,22,1.6785714285714284,0.24001055418319744,2,2025-11-17,2025-11-24,0.35000633788151836,-0.35000633788151836,0.35000633788151836
good,23,1.7142857142857144,0.2849548031059867,2,2025-11-17,2025-11-24,0.34992710611188266,-0.34992710611188266,0.34992710611188266
figure img,24,1.7142857142857144,0.36321746764912255,1,2025-11-17,2025-11-17,0.34285714285714286,-0.34285714285714286,0.34285714285714286
figure img alt,24,1.7142857142857144,0.36321746764912255,1,2025-11-17,2025-11-17,0.34285714285714286,-0.34285714285714286,0.34285714285714286
medium,22,1.607142857142857,0.322677871415516,2,2025-11-17,2025-11-24,0.33511245116315586,-0.33511245116315586,0.33511245116315586
think,19,1.464285714285714,0.2207131636036318,2,2025-11-17,2025-11-24,0.32742423956246913,-0.32742423956246913,0.32742423956246913
instead,19,1.4285714285714282,0.2682507976784861,2,2025-11-17,2025-11-24,0.31943828249996986,-0.31943828249996986,0.31943828249996986
tools,23,1.5357142857142858,0.2460727723680741,4,2025-11-03,2025-11-24,0.31347636589189487,-0.31347636589189487,0.31347636589189487
way,21,1.4642857142857142,0.34633442865672603,2,2025-11-10,2025-11-17,0.31218676323500094,-0.31218676323500094,0.31218676323500094
src figcaption,20,1.4285714285714284,0.36321746764912255,1,2025-11-17,2025-11-17,0.3117398431942748,-0.3117398431942748,0.3117398431942748
class,19,1.3571428571428568,0.3632174676491228,1,2025-11-17,2025-11-17,0.3034663683749714,-0.3034663683749714,0.3034663683749714
figcaption figure,19,1.3571428571428568,0.3632174676491228,1,2025-11-17,2025-11-17,0.3034663683749714,-0.3034663683749714,0.3034663683749714
important,18,1.3214285714285714,0.313537871534369,2,2025-11-17,2025-11-24,0.3031565054718137,-0.3031565054718137,0.3031565054718137
systems,20,1.357142857142857,0.3592880186345655,2,2025-11-03,2025-11-17,0.29615285103456107,-0.29615285103456107,0.29615285103456107
product,19,1.3214285714285712,0.3087118528377423,3,2025-11-03,2025-11-24,0.29548041131247216,-0.29548041131247216,0.29548041131247216
