Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
swift,65,3.869047619047619,0.309958735506241,1,2026-06-29,2026-06-29,0.47624684009860874,-0.47624684009860874,0.47624684009860874
taylor,62,3.6904761904761907,0.309958735506241,1,2026-06-29,2026-06-29,0.4649562961621446,-0.4649562961621446,0.4649562961621446
wedding,67,3.75,0.28640906655140863,3,2026-06-15,2026-06-29,0.4547542969431243,-0.4547542969431243,0.4547542969431243
taylor swift,58,3.4523809523809526,0.309958735506241,1,2026-06-29,2026-06-29,0.44946171648141575,-0.44946171648141575,0.44946171648141575
men,63,3.511904761904762,0.2848651473136896,3,2026-06-15,2026-06-29,0.43898809523809523,-0.43898809523809523,0.43898809523809523
outfit,44,2.5714285714285716,0.3058541417652475,2,2026-06-15,2026-06-29,0.383325938999964,-0.383325938999964,0.383325938999964
fashion trend,74,3.0714285714285716,0.17757041923986194,3,2026-06-15,2026-06-29,0.3546580225021987,-0.3546580225021987,0.3546580225021987
women,41,2.2976190476190474,0.28031252302539017,3,2026-06-15,2026-06-29,0.3545303159843302,-0.3545303159843302,0.3545303159843302
new,53,2.5357142857142856,0.23891137999106618,3,2026-06-15,2026-07-06,0.3450670074158842,-0.3450670074158842,0.3450670074158842
summer,153,3.9166666666666665,0.3351871440308762,7,2026-05-18,2026-06-29,0.3156139942432739,-0.3156139942432739,0.3156139942432739
dress,25,1.4880952380952381,0.309958735506241,1,2026-06-29,2026-06-29,0.2918394868127739,-0.2918394868127739,0.2918394868127739
travis,25,1.4880952380952381,0.309958735506241,1,2026-06-29,2026-06-29,0.2918394868127739,-0.2918394868127739,0.2918394868127739
look,28,1.5476190476190477,0.2816182567660976,3,2026-06-15,2026-06-29,0.287385642416866,-0.287385642416866,0.287385642416866
kelce,24,1.4285714285714286,0.309958735506241,1,2026-06-29,2026-06-29,0.2857142857142857,-0.2857142857142857,0.2857142857142857
wear,73,2.4404761904761907,0.3816761246203056,7,2026-05-18,2026-06-29,0.2836995945533685,-0.2836995945533685,0.2836995945533685
