Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
wear,144,11.25,0.07954477184577533,4,2025-12-08,2025-12-29,0.9342616483545746,-0.9342616483545746,0.9342616483545746
fashiontrends,41,4.392857142857142,0.14381080871160384,1,2025-12-29,2025-12-29,0.6778325730477608,-0.6778325730477608,0.6778325730477608
new,51,4.035714285714286,0.06846154938485254,4,2025-11-24,2025-12-29,0.5596528765486687,-0.5596528765486687,0.5596528765486687
zudio,26,2.7857142857142856,0.14381080871160384,1,2025-12-29,2025-12-29,0.5361109642475096,-0.5361109642475096,0.5361109642475096
jeans,27,2.6785714285714284,0.06035218589083692,2,2025-12-22,2025-12-29,0.5062024192087864,-0.5062024192087864,0.5062024192087864
sale,23,2.464285714285714,0.14381080871160384,1,2025-12-29,2025-12-29,0.5030202150358312,-0.5030202150358312,0.5030202150358312
trending,23,2.321428571428571,0.12227635596922846,2,2025-12-15,2025-12-29,0.473859622859841,-0.473859622859841,0.473859622859841
outfit,21,2.214285714285714,0.12365917420065392,2,2025-12-22,2025-12-29,0.4720873005017087,-0.4720873005017087,0.4720873005017087
collection,20,2.142857142857143,0.14381080871160368,1,2025-12-29,2025-12-29,0.46760976479141225,-0.46760976479141225,0.46760976479141225
men,30,2.571428571428571,0.12561243121897367,4,2025-11-24,2025-12-29,0.4618422052117069,-0.4618422052117069,0.4618422052117069
shorts,16,1.7142857142857142,0.14381080871160384,1,2025-12-29,2025-12-29,0.4157753572051422,-0.4157753572051422,0.4157753572051422
cosmopolitan,18,1.7142857142857142,0.03674259800515247,2,2025-12-22,2025-12-29,0.3932841152066773,-0.3932841152066773,0.3932841152066773
outfits,15,1.5,0.06693300214386119,2,2025-12-22,2025-12-29,0.375,-0.375,0.375
shoe,22,1.7857142857142856,0.1270646438707627,2,2025-12-22,2025-12-29,0.3723471679590621,-0.3723471679590621,0.3723471679590621
wardrobe,20,1.6428571428571428,0.10855410191477205,2,2025-12-22,2025-12-29,0.35850081967341607,-0.35850081967341607,0.35850081967341607
stylish,16,1.4642857142857142,0.030160986090468963,2,2025-12-22,2025-12-29,0.355141450946059,-0.355141450946059,0.355141450946059
love,14,1.3214285714285714,0.033867002376113536,2,2025-12-22,2025-12-29,0.34119139002303434,-0.34119139002303434,0.34119139002303434
new year,11,1.1785714285714286,0.14381080871160384,1,2025-12-29,2025-12-29,0.34022426577245807,-0.34022426577245807,0.34022426577245807
zudio sale,11,1.1785714285714286,0.14381080871160384,1,2025-12-29,2025-12-29,0.34022426577245807,-0.34022426577245807,0.34022426577245807
make,12,1.2142857142857142,0.07778953814544999,2,2025-12-22,2025-12-29,0.3367822619938891,-0.3367822619938891,0.3367822619938891
sneakers,13,1.25,0.04072366158081425,2,2025-12-22,2025-12-29,0.33407655239053047,-0.33407655239053047,0.33407655239053047
look,21,1.5357142857142856,0.07868523932638152,3,2025-12-01,2025-12-29,0.3274153858318303,-0.3274153858318303,0.3274153858318303
funny,10,1.0714285714285714,0.14381080871160368,1,2025-12-29,2025-12-29,0.323047869190461,-0.323047869190461,0.323047869190461
items,12,1.1428571428571428,0.03674259800515242,2,2025-12-22,2025-12-29,0.31697154070013095,-0.31697154070013095,0.31697154070013095
looking,14,1.2142857142857142,0.048690706164194755,2,2025-12-22,2025-12-29,0.3135272232644099,-0.3135272232644099,0.3135272232644099
woman,14,1.2142857142857142,0.048690706164194755,2,2025-12-22,2025-12-29,0.3135272232644099,-0.3135272232644099,0.3135272232644099
editor,16,1.2857142857142856,0.14381080871160384,2,2025-12-22,2025-12-29,0.31183151790385666,-0.31183151790385666,0.31183151790385666
fashion editor,16,1.2857142857142856,0.14381080871160384,2,2025-12-22,2025-12-29,0.31183151790385666,-0.31183151790385666,0.31183151790385666
girls,18,1.357142857142857,0.26292107119579833,2,2025-12-22,2025-12-29,0.3113499245386195,-0.3113499245386195,0.3113499245386195
modern,10,1.0,0.06693300214386119,2,2025-12-22,2025-12-29,0.30151134457776363,-0.30151134457776363,0.30151134457776363
suede,12,1.0714285714285714,0.034316599206396396,2,2025-12-22,2025-12-29,0.29716081940637273,-0.29716081940637273,0.29716081940637273
shoe trends,14,1.1428571428571428,0.1180221468339791,2,2025-12-22,2025-12-29,0.29508444542532697,-0.29508444542532697,0.29508444542532697
elegant,15,1.1785714285714286,0.18411337779868975,2,2025-12-22,2025-12-29,0.29464285714285715,-0.29464285714285715,0.29464285714285715
best,8,0.8571428571428571,0.14381080871160384,1,2025-12-29,2025-12-29,0.2857142857142857,-0.2857142857142857,0.2857142857142857
clothing,8,0.8571428571428571,0.14381080871160384,1,2025-12-29,2025-12-29,0.2857142857142857,-0.2857142857142857,0.2857142857142857
shoes,8,0.8571428571428571,0.14381080871160384,1,2025-12-29,2025-12-29,0.2857142857142857,-0.2857142857142857,0.2857142857142857
biggest,21,1.3214285714285714,0.0035222681105902976,5,2025-12-01,2025-12-29,0.28172951804134233,-0.28172951804134233,0.28172951804134233
asked,10,0.9285714285714285,0.030714729184636674,2,2025-12-22,2025-12-29,0.2799748199650662,-0.2799748199650662,0.2799748199650662
major,10,0.9285714285714285,0.030714729184636674,2,2025-12-22,2025-12-29,0.2799748199650662,-0.2799748199650662,0.2799748199650662
people,12,1.0,0.08855680204602329,2,2025-12-22,2025-12-29,0.2773500981126146,-0.2773500981126146,0.2773500981126146
latest,12,0.9999999999999998,0.08855680204602347,2,2025-12-15,2025-12-29,0.2773500981126145,-0.2773500981126145,0.2773500981126145
sale zudio,7,0.75,0.14381080871160368,1,2025-12-29,2025-12-29,0.2651650429449553,-0.2651650429449553,0.2651650429449553
shirts,7,0.75,0.14381080871160368,1,2025-12-29,2025-12-29,0.2651650429449553,-0.2651650429449553,0.2651650429449553
try,7,0.75,0.14381080871160368,1,2025-12-29,2025-12-29,0.2651650429449553,-0.2651650429449553,0.2651650429449553
ytshorts,7,0.75,0.14381080871160368,1,2025-12-29,2025-12-29,0.2651650429449553,-0.2651650429449553,0.2651650429449553
zudio sale zudio,7,0.75,0.14381080871160368,1,2025-12-29,2025-12-29,0.2651650429449553,-0.2651650429449553,0.2651650429449553
dressing,8,0.7857142857142857,0.052943322459865785,2,2025-12-22,2025-12-29,0.2619047619047619,-0.2619047619047619,0.2619047619047619
men fashion,8,0.7857142857142857,0.052943322459865785,2,2025-12-22,2025-12-29,0.2619047619047619,-0.2619047619047619,0.2619047619047619
women,8,0.7857142857142857,0.052943322459865785,2,2025-12-22,2025-12-29,0.2619047619047619,-0.2619047619047619,0.2619047619047619
dress,9,0.8214285714285714,0.030295541470698933,2,2025-12-22,2025-12-29,0.2597585220852597,-0.2597585220852597,0.2597585220852597
day,10,0.8571428571428571,0.057972773557539915,2,2025-12-22,2025-12-29,0.2584382953523688,-0.2584382953523688,0.2584382953523688
woman home,10,0.8571428571428571,0.057972773557539915,2,2025-12-22,2025-12-29,0.2584382953523688,-0.2584382953523688,0.2584382953523688
times,14,1.0,0.04565912378141155,3,2025-12-01,2025-12-29,0.2581988897471611,-0.2581988897471611,0.2581988897471611
news,12,0.9285714285714286,0.2129443764776025,2,2025-12-22,2025-12-29,0.2575393768188564,-0.2575393768188564,0.2575393768188564
wearing wear,12,0.9285714285714286,0.2129443764776025,2,2025-12-22,2025-12-29,0.2575393768188564,-0.2575393768188564,0.2575393768188564
brings,6,0.6428571428571428,0.14381080871160384,1,2025-12-29,2025-12-29,0.24297716122021748,-0.24297716122021748,0.24297716122021748
collection men,6,0.6428571428571428,0.14381080871160384,1,2025-12-29,2025-12-29,0.24297716122021748,-0.24297716122021748,0.24297716122021748
colour,6,0.6428571428571428,0.14381080871160384,1,2025-12-29,2025-12-29,0.24297716122021748,-0.24297716122021748,0.24297716122021748
combination,6,0.6428571428571428,0.14381080871160384,1,2025-12-29,2025-12-29,0.24297716122021748,-0.24297716122021748,0.24297716122021748
designs,6,0.6428571428571428,0.14381080871160384,1,2025-12-29,2025-12-29,0.24297716122021748,-0.24297716122021748,0.24297716122021748
fashionstyle,6,0.6428571428571428,0.14381080871160384,1,2025-12-29,2025-12-29,0.24297716122021748,-0.24297716122021748,0.24297716122021748
predictions,6,0.6428571428571428,0.14381080871160384,1,2025-12-29,2025-12-29,0.24297716122021748,-0.24297716122021748,0.24297716122021748
trend predictions,6,0.6428571428571428,0.14381080871160384,1,2025-12-29,2025-12-29,0.24297716122021748,-0.24297716122021748,0.24297716122021748
video,6,0.6428571428571428,0.14381080871160384,1,2025-12-29,2025-12-29,0.24297716122021748,-0.24297716122021748,0.24297716122021748
trendy,7,0.6785714285714285,0.04485524270447415,2,2025-12-22,2025-12-29,0.23991122933115,-0.23991122933115,0.23991122933115
existing,8,0.7142857142857142,0.03431659920639646,2,2025-12-22,2025-12-29,0.23809523809523805,-0.23809523809523805,0.23809523809523805
existing wardrobe,8,0.7142857142857142,0.03431659920639646,2,2025-12-22,2025-12-29,0.23809523809523805,-0.23809523809523805,0.23809523809523805
existing wardrobe cosmopolitan,8,0.7142857142857142,0.03431659920639646,2,2025-12-22,2025-12-29,0.23809523809523805,-0.23809523809523805,0.23809523809523805
jackets,8,0.7142857142857142,0.03431659920639646,2,2025-12-22,2025-12-29,0.23809523809523805,-0.23809523809523805,0.23809523809523805
know,8,0.7142857142857142,0.03431659920639646,2,2025-12-22,2025-12-29,0.23809523809523805,-0.23809523809523805,0.23809523809523805
skirts,8,0.7142857142857142,0.03431659920639646,2,2025-12-22,2025-12-29,0.23809523809523805,-0.23809523809523805,0.23809523809523805
style existing,8,0.7142857142857142,0.03431659920639646,2,2025-12-22,2025-12-29,0.23809523809523805,-0.23809523809523805,0.23809523809523805
style existing wardrobe,8,0.7142857142857142,0.03431659920639646,2,2025-12-22,2025-12-29,0.23809523809523805,-0.23809523809523805,0.23809523809523805
trainer,8,0.7142857142857142,0.03431659920639646,2,2025-12-22,2025-12-29,0.23809523809523805,-0.23809523809523805,0.23809523809523805
trends style,8,0.7142857142857142,0.03431659920639646,2,2025-12-22,2025-12-29,0.23809523809523805,-0.23809523809523805,0.23809523809523805
