Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down
fashion,228,17.5,0.08722297551330468,7,2026-01-12,2026-02-23,1.156432550796407,-1.156432550796407
style,82,7.678571428571428,0.12687100282773683,5,2026-01-12,2026-02-23,0.8428327106351222,-0.8428327106351222
trends,106,7.0357142857142865,0.12310836862750245,7,2026-01-12,2026-02-23,0.6801681726499847,-0.6801681726499847
trend,101,6.25,0.15519347062190847,6,2026-01-12,2026-02-23,0.6188422143604215,-0.6188422143604215
claire,74,5.571428571428571,0.13575853917883346,6,2026-01-12,2026-02-23,0.6433331570970114,-0.6433331570970114
marie claire,74,5.571428571428571,0.13575853917883346,6,2026-01-12,2026-02-23,0.6433331570970114,-0.6433331570970114
marie,74,5.571428571428571,0.13575853917883346,6,2026-01-12,2026-02-23,0.6433331570970114,-0.6433331570970114
spring,80,5.285714285714286,0.1307698835578052,6,2026-01-19,2026-02-23,0.5873015873015873,-0.5873015873015873
week,53,5.178571428571428,0.0775548816775673,3,2026-02-02,2026-02-23,0.7047143109197634,-0.7047143109197634
fashion week,50,4.892857142857142,0.08131706686879371,3,2026-02-02,2026-02-23,0.6851370411137047,-0.6851370411137047
new,51,4.5,0.03199568601466351,3,2026-01-26,2026-02-23,0.6240377207533828,-0.6240377207533828
london,40,4.285714285714286,0.14381080871160382,1,2026-02-23,2026-02-23,0.6693161223797403,-0.6693161223797403
men,44,4.178571428571428,0.10394344140557069,4,2026-01-26,2026-02-23,0.6229046508749413,-0.6229046508749413
wear,57,4.035714285714286,0.15398415063282614,7,2026-01-12,2026-02-23,0.5299152468981659,-0.5299152468981659
outfit,38,3.999999999999999,0.12157449250038062,2,2026-02-16,2026-02-23,0.6405126152203484,-0.6405126152203484
fashiontrends,36,3.7857142857142856,0.12036257480861703,2,2026-02-16,2026-02-23,0.6223675947988526,-0.6223675947988526
london fashion,33,3.5357142857142856,0.14381080871160382,1,2026-02-23,2026-02-23,0.6063699974681562,-0.6063699974681562
london fashion week,31,3.321428571428571,0.14381080871160395,1,2026-02-23,2026-02-23,0.5871511665209724,-0.5871511665209724
look,31,3.25,0.11666903414762146,2,2026-02-16,2026-02-23,0.5745242597140698,-0.5745242597140698
best,33,3.0,0.06274086344200847,3,2026-01-26,2026-02-23,0.5144957554275265,-0.5144957554275265
streetwear,36,2.642857142857143,0.11503420323956226,3,2026-02-09,2026-02-23,0.4344830378784443,-0.4344830378784443
shorts,26,2.642857142857143,0.12464949020931111,2,2026-02-09,2026-02-23,0.5086180942860988,-0.5086180942860988
street,27,2.5,0.10140794943607835,3,2026-01-26,2026-02-23,0.472455591261534,-0.472455591261534
street style,26,2.4285714285714284,0.11682339950929543,3,2026-01-26,2026-02-23,0.4673787893439827,-0.4673787893439827
women,23,2.142857142857143,0.037123110708622606,3,2026-02-09,2026-02-23,0.4374088826398533,-0.4374088826398533
stylish,19,1.964285714285714,0.10034558590919171,2,2026-02-16,2026-02-23,0.4392276384374586,-0.4392276384374586
clothing,20,1.8928571428571428,0.03464610773814821,2,2026-02-16,2026-02-23,0.41305529223241416,-0.41305529223241416
fashion trends,28,1.7142857142857142,0.10049170462929047,5,2026-01-19,2026-02-23,0.3183348654463746,-0.3183348654463746
sneaker,15,1.4285714285714284,0.036742598005152484,2,2026-02-16,2026-02-23,0.3571428571428571,-0.3571428571428571
fall,25,1.4285714285714284,0.2048756058559253,5,2026-01-12,2026-02-23,0.28016590734026287,-0.28016590734026287
girl,15,1.3928571428571428,0.05272678499468617,3,2026-02-09,2026-02-23,0.3482142857142857,-0.3482142857142857
spring fashion,21,1.3928571428571428,0.11669089705417147,4,2026-01-26,2026-02-23,0.29695814063817166,-0.29695814063817166
jeans,13,1.3928571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.3722567298065911,-0.3722567298065911
shirts,14,1.357142857142857,0.044855242704474156,2,2026-02-16,2026-02-23,0.3504127789425758,-0.3504127789425758
looks,14,1.357142857142857,0.10990143152899716,2,2026-02-09,2026-02-23,0.3504127789425758,-0.3504127789425758
elle,16,1.357142857142857,0.1007124486657302,3,2026-01-26,2026-02-23,0.32915549112073755,-0.32915549112073755
trending,13,1.357142857142857,0.1116106997505095,2,2026-02-16,2026-02-23,0.3627116854525759,-0.3627116854525759
new york,18,1.2857142857142856,0.07820645687134017,3,2026-01-26,2026-02-23,0.2949630864050079,-0.2949630864050079
york,18,1.2857142857142856,0.07820645687134017,3,2026-01-26,2026-02-23,0.2949630864050079,-0.2949630864050079
fashionstyle,12,1.2857142857142856,0.14381080871160395,1,2026-02-23,2026-02-23,0.35659298328764727,-0.35659298328764727
ideas,12,1.2857142857142856,0.14381080871160395,1,2026-02-23,2026-02-23,0.35659298328764727,-0.35659298328764727
shoe,12,1.2857142857142856,0.14381080871160395,1,2026-02-23,2026-02-23,0.35659298328764727,-0.35659298328764727
winter,28,1.25,0.12888769568495795,6,2026-01-12,2026-02-23,0.23211917272131485,-0.23211917272131485
taylor,12,1.2142857142857142,0.1231288834670422,2,2026-02-09,2026-02-23,0.3367822619938891,-0.3367822619938891
runway,20,1.2142857142857142,0.14558451809420114,4,2026-01-19,2026-02-23,0.2649788667151336,-0.2649788667151336
white,11,1.1785714285714286,0.14381080871160395,1,2026-02-23,2026-02-23,0.34022426577245807,-0.34022426577245807
modern,11,1.1785714285714286,0.14381080871160395,1,2026-02-23,2026-02-23,0.34022426577245807,-0.34022426577245807
mensfashion,11,1.1785714285714286,0.14381080871160395,1,2026-02-23,2026-02-23,0.34022426577245807,-0.34022426577245807
suits,10,1.0714285714285714,0.14381080871160382,1,2026-02-23,2026-02-23,0.323047869190461,-0.323047869190461
shop,10,1.0714285714285714,0.14381080871160382,1,2026-02-23,2026-02-23,0.323047869190461,-0.323047869190461
bazaar,10,1.0714285714285714,0.14381080871160382,1,2026-02-23,2026-02-23,0.323047869190461,-0.323047869190461
harper,10,1.0714285714285714,0.14381080871160382,1,2026-02-23,2026-02-23,0.323047869190461,-0.323047869190461
harper bazaar,10,1.0714285714285714,0.14381080871160382,1,2026-02-23,2026-02-23,0.323047869190461,-0.323047869190461
styling,10,1.0357142857142856,0.10240371820756712,2,2026-02-16,2026-02-23,0.31227960688411227,-0.31227960688411227
coats,12,1.0,0.17286848589102868,2,2026-01-26,2026-02-23,0.2773500981126146,-0.2773500981126146
casual,9,0.9642857142857142,0.14381080871160395,1,2026-02-23,2026-02-23,0.30493391723052227,-0.30493391723052227
york fashion,11,0.9285714285714285,0.0730756768399805,2,2026-02-16,2026-02-23,0.2680554821237548,-0.2680554821237548
york fashion week,11,0.9285714285714285,0.0730756768399805,2,2026-02-16,2026-02-23,0.2680554821237548,-0.2680554821237548
new york fashion,11,0.9285714285714285,0.0730756768399805,2,2026-02-16,2026-02-23,0.2680554821237548,-0.2680554821237548
latest,10,0.8928571428571428,0.03431659920639636,2,2026-02-16,2026-02-23,0.2692065576587175,-0.2692065576587175
color trend,12,0.8571428571428572,0.2569722437092909,2,2026-01-12,2026-02-23,0.23772865552509823,-0.23772865552509823
trendy,8,0.8571428571428571,0.14381080871160395,1,2026-02-23,2026-02-23,0.2857142857142857,-0.2857142857142857
week street,8,0.8571428571428571,0.14381080871160395,1,2026-02-23,2026-02-23,0.2857142857142857,-0.2857142857142857
yahoo,8,0.8571428571428571,0.14381080871160395,1,2026-02-23,2026-02-23,0.2857142857142857,-0.2857142857142857
cosmopolitan,8,0.8571428571428571,0.14381080871160395,1,2026-02-23,2026-02-23,0.2857142857142857,-0.2857142857142857
british,8,0.8571428571428571,0.14381080871160395,1,2026-02-23,2026-02-23,0.2857142857142857,-0.2857142857142857
fashion week street,8,0.8571428571428571,0.14381080871160395,1,2026-02-23,2026-02-23,0.2857142857142857,-0.2857142857142857
red,12,0.8571428571428571,0.1274640081581162,3,2026-01-19,2026-02-23,0.2377286555250982,-0.2377286555250982
week street style,8,0.8571428571428571,0.14381080871160395,1,2026-02-23,2026-02-23,0.2857142857142857,-0.2857142857142857
make,8,0.8571428571428571,0.14381080871160395,1,2026-02-23,2026-02-23,0.2857142857142857,-0.2857142857142857
british vogue,8,0.8571428571428571,0.14381080871160395,1,2026-02-23,2026-02-23,0.2857142857142857,-0.2857142857142857
sale,8,0.8571428571428571,0.14381080871160395,1,2026-02-23,2026-02-23,0.2857142857142857,-0.2857142857142857
wearing,15,0.8214285714285714,0.0927855098228234,4,2026-01-12,2026-02-23,0.20535714285714285,-0.20535714285714285
jacket,11,0.8214285714285714,0.22294966488414827,2,2026-01-19,2026-02-23,0.23712600341716772,-0.23712600341716772
stay,8,0.8214285714285714,0.0927855098228234,2,2026-02-16,2026-02-23,0.2738095238095238,-0.2738095238095238
hoodies,11,0.8214285714285714,0.15055365058982434,3,2026-02-09,2026-02-23,0.23712600341716772,-0.23712600341716772
outfits,12,0.8214285714285714,0.1389283170074382,4,2026-01-19,2026-02-23,0.22782329487821912,-0.22782329487821912
men fashion,10,0.7857142857142857,0.1841133777986899,2,2026-01-26,2026-02-23,0.23690177073967142,-0.23690177073967142
fashion trend,28,0.7857142857142857,0.36394248359194653,5,2026-01-12,2026-02-23,0.14590347999625505,-0.14590347999625505
spring trends,12,0.7857142857142857,0.0014294953695232883,4,2026-02-02,2026-02-23,0.21791793423134,-0.21791793423134
saree,7,0.75,0.14381080871160382,1,2026-02-23,2026-02-23,0.2651650429449553,-0.2651650429449553
union,7,0.75,0.14381080871160382,1,2026-02-23,2026-02-23,0.2651650429449553,-0.2651650429449553
ytshorts,7,0.75,0.14381080871160382,1,2026-02-23,2026-02-23,0.2651650429449553,-0.2651650429449553
woman,11,0.75,0.12960926524729952,3,2026-01-26,2026-02-23,0.21650635094610968,-0.21650635094610968
shoes,7,0.75,0.14381080871160382,1,2026-02-23,2026-02-23,0.2651650429449553,-0.2651650429449553
state,7,0.75,0.14381080871160382,1,2026-02-23,2026-02-23,0.2651650429449553,-0.2651650429449553
state union,7,0.75,0.14381080871160382,1,2026-02-23,2026-02-23,0.2651650429449553,-0.2651650429449553
prince,8,0.7142857142857142,0.03431659920639645,2,2026-02-16,2026-02-23,0.23809523809523805,-0.23809523809523805
key,10,0.7142857142857142,0.23612059139933805,2,2026-01-19,2026-02-23,0.215365246126974,-0.215365246126974
home,10,0.7142857142857142,0.08406868158551731,3,2026-01-26,2026-02-23,0.215365246126974,-0.215365246126974
brings,8,0.6785714285714285,0.06795026336788815,2,2026-02-16,2026-02-23,0.22619047619047616,-0.22619047619047616
milan,7,0.6785714285714285,0.044855242704474156,2,2026-02-16,2026-02-23,0.23991122933115,-0.23991122933115
inspiration,7,0.6785714285714285,0.044855242704474156,2,2026-02-16,2026-02-23,0.23991122933115,-0.23991122933115
drops,8,0.6785714285714285,0.06795026336788815,2,2026-02-16,2026-02-23,0.22619047619047616,-0.22619047619047616
chic,9,0.6785714285714285,0.19315261412797735,2,2026-01-26,2026-02-23,0.21458312693999712,-0.21458312693999712
color,19,0.6785714285714284,0.41195425728514096,4,2026-01-12,2026-02-23,0.1517331841874857,-0.1517331841874857
app,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
best london fashion,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
women fashion,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
product,9,0.6428571428571428,0.011724811003954625,3,2026-02-09,2026-02-23,0.2032892781536815,-0.2032892781536815
best london,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
shoe trend,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
pieces,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
work,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
trench coats,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
dark,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
week fall,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
trends wear,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
ultimate,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
short,9,0.6428571428571428,0.05991614630260772,3,2026-02-09,2026-02-23,0.2032892781536815,-0.2032892781536815
nyfw,8,0.6428571428571428,0.008520112703736768,3,2026-02-09,2026-02-23,0.21428571428571427,-0.21428571428571427
major,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
news,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
style looks,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
fashion week fall,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
trend marie claire,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
thanks,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
thing,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
trench,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
trend marie,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
street style trends,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
hit,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
style trend,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
fashion people,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
makes,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
sneaker trends,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
jackets,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
street style looks,6,0.6428571428571428,0.14381080871160395,1,2026-02-23,2026-02-23,0.24297716122021748,-0.24297716122021748
discover,6,0.6071428571428571,0.07778953814545005,2,2026-02-16,2026-02-23,0.2294784300413165,-0.2294784300413165
time,7,0.6071428571428571,0.048690706164194804,2,2026-02-16,2026-02-23,0.21465741571734476,-0.21465741571734476
paris,6,0.6071428571428571,0.07778953814545005,2,2026-02-16,2026-02-23,0.2294784300413165,-0.2294784300413165
caps,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
drops short,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
caps latest sneaker,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
